,Name,address,city,state,zip,website,facebook,manager_name,email,phone,MarketName,stateFIPS,CSA_ID
62,Yeehaw Farm Whole Diet CSA,51 Rohrer Drive,Duncannon,Pennsylvania,17020,www.yeehawfarms.com,https://www.facebook.com/pages/Yeehaw-Farm/179809875371755,Yeehaw Farm,yeehawfarm@yahoo.com,717-834-9667,97.9 Yeehaw Farm Whole Diet CSA,42,3005461
63,The Multi-Farm Meat CSA,678 Cochecton Tpke,Tyler Hill,Pennsylvania,18469,www.twinbrookfarmsandlivestock.com,https://www.facebook.com/TwinBrookFarms,Cassilyn Schweighofer,cms346@cornell.edu,5702244381,102.1 The Multi-Farm Meat CSA,42,3005569
64,Evermore Farm,150 Rockland Road,Westminster,Maryland,21158,www.evermorefarm.com,https://www.facebook.com/EvermoreFarm,Ginger Myers,ginger@evermorefarm.com,443-398-6548,103.8 Evermore Farm,24,3001564
65,"Chestnut Creek Farm, LLC",3610 Baker Road,Westminster,Maryland,21157,www.chestnutcreekfarm.com,https://www.facebook.com/chestnutcreekfarm,Jan and Jeff White,chestnutcreekfarm@gmail.com,410-259-3023,"104.3 Chestnut Creek Farm, LLC",24,3001546
66,North Mountain Pastures,201 Cold Storage Rd,Newport,Pennsylvania,17074,www.NorthMountainPastures.com,https://www.facebook.com/NorthMountainPastures?ref=stream&ws&nr&fref=nf,Brooks Miller,brooks@northmountainpastures.com,7174973496,104.5 North Mountain Pastures,42,3005473
67,Earth Spring Farm,366 Stought Road,Carlisle,Pennsylvania,17015,http://www.earthspringcsa.com,https://www.facebook.com/pages/Earth-Spring-Farm/190463371472,Mike Nolan,earthspringcsa@gmail.com,717-805-7778,104.6 Earth Spring Farm,42,3003847
68,Orchard Country  Produce and Fruit Farm,1410 Goodyear Rd.,Gardners,Pennsylvania,17324,www.orchardcountryproduce.com,https://www.facebook.com/orchardcountryproduce,Gregg Keckler,ocp@orchardcountryproduce.com,717-486-4653,105.8 Orchard Country  Produce and Fruit Farm,42,3003963
69,Piney Mountain Orchard,197 Coon Road,Gardners,Pennsylvania,17324,pineymountainorchard.com,https://www.facebook.com/pineymountain,Megan Rulli,meganrulli@gmail.com,717-514-4256,105.8 Piney Mountain Orchard,42,3003976
70,Hilltop Hanover Farm & Environmental Center,1271 Hanover Street,Yorktown Heights,New York,10598,www.hilltophanoverfarm.org,https://www.facebook.com/hilltophanoverfarm/,Lucille Munz,Lucille@hilltophanoverfarm.org,9149622368,106.1 Hilltop Hanover Farm & Environmental Center,36,3005699
71,Blades Orchard at Friendship Farms,4822 Preston Road,Federalsburg,Maryland,21632,bladesorchard@bladesorchard.com,https://www.facebook.com/bladesorchard,Lynda Blades,bladesorchard@bladesorchard.com,410-829-0334,107.0 Blades Orchard at Friendship Farms,24,3001535
72,Glynwood CSA,Glynwood Rd,Cold Spring,New York,10516,http://www.glynwood.org,https://www.facebook.com/glynwoodorg,Jarret Nelson,jnelson@glynwood.org,845-265-3338 ext 131,107.5 Glynwood CSA,36,3003031
73,Harford Farm and Flower Market,p. o. box 128,Harford,Pennsylvania,18823,http://harfordfarmpa.com/,https://www.facebook.com/pages/Harford-Farm-and-Flower-Market/322825071642?fref=ts,Judy and Geof Smeltzer,harfordfarm@gmail.com,570-434-2592,112.4 Harford Farm and Flower Market,42,3003889
74,Gorman Farms / CSA,10151 Gorman Rd,Laurel,Maryland,20723,https://gormanfarmscsa.com/,https://www.facebook.com/gormanproducefarm,Dave Liker,info@gormanfarmscsa.com,3019088063,114.4 Gorman Farms / CSA,24,3012954
75,Pheasant Hill Farm,4755 Buffalo Rd,Mount Airy,Maryland,21771,,,Marjorie Satterlee,msatter195@aol.com,410-215-7173,117.0 Pheasant Hill Farm,24,3001609
76,Simpaug Farms,38C Grove Street,Ridgefield,Connecticut,6877,http://www.simpaugfarms.com/,https://www.facebook.com/simpaugfarms/,Megan Robertson,info@simpaugfarms.com,203-984-7289,117.8 Simpaug Farms,9,3010746
77,Village Acres Farm & FoodShed,229 Cuba Mills Road,Mifflintown,Pennsylvania,17059,www.villageacresfarm.com,www.facebook.com/villageacres,Hannah Smith-Brubaker,hannah@villageacresfarm.com,717-436-9477,117.8 Village Acres Farm & FoodShed,42,3005687
78,SPACE on Ryder Farm CSA,406 Starr Ridge Road,Brewster,New York,10509,www.spaceonryderfarm.org/farm,https://www.facebook.com/SPACEonryderfarm/,Allyson Davis,csa@spaceonryderfarm.org,6468338159,119.6 SPACE on Ryder Farm CSA,36,3011891
79,Stony Branch Growers,9910 4 Points Rd,Rocky Ridge,Maryland,21778,www.stonybranchgrowers.com,https://www.facebook.com/pages/Stony-Branch-Growers/290522301074318,Alan Brauer,stonybranchgrowers@gmail.com,301-788-1498,119.9 Stony Branch Growers,24,3001628
80,Fishkill Farms CSA,9 Fishkill Farm Rd,Hopewell Junction,New York,12533,http://www.fishkillfarms.com/,https://www.facebook.com/fishkillfarms/,Fishkill Farms,csa@fishkillfarms.com,8457658587,120.7 Fishkill Farms CSA,36,3011824
81,Root 'N Roost Farm,64 Mineral Springs Road,Livingston Manor,New York,12758,www.rootnroost.com,https://www.facebook.com/RootnRoostFarm,Sean and Cheyenne Zigmund,info@rootnroost.com,845-292-9126,121.3 Root 'N Roost Farm,36,3003215
82,Huguenot St Farm,205 Huguenot St,New Paltz,New York,12561,Huguenotfarm.com,https://www.facebook.com/pages/Huguenot-Farm-CSA/178393065539753,Gavin Rinkor,gavin@huguenotfarm.com,8454192164,121.7 Huguenot St Farm,36,3003080
83,Healthway Farms,740 South Street,Highland,New York,12528,healthwayfarms.wordpress.com,https://www.facebook.com/HealthwayFarmsCSA,Samantha Alicia,HealthwayFarmsCSA@gmail.com,8452045117,122.7 Healthway Farms,36,3003067
84,Cabin Creek Heritage Farm,18235 Clagett Landing Road,Upper Marlboro,Maryland,20774,www.cabincreekheritagefarm.com,www.facebook.com/cabincreekheritagefarm,Amanda Hill,amanda@cabincreekheritagefarm.com,301-430-0170,122.7 Cabin Creek Heritage Farm,24,3005547
85,Hemlock Creek CSA ,1944 Stevens Point Rd,Susquehanna,Pennsylvania,18847,http://www.hemlockcreekcsa.com,https://www.facebook.com/hemlockcreekcsa,Stephanie Roberts,hemlockcreekcsa@gmail.com,570-727-3046,122.9 Hemlock Creek CSA ,42,3003894
86,Shadows of Catoctin Farm,6517 Fish Hatchery Rd,Thurmont,Maryland,21788,www.shadowsofcatoctinfarm.com,https://www.facebook.com/pages/Shadows-of-Catoctin-Farm/481500495244345,Sally Heber,shadowsofcatoctinfarm@mindspring.com,3018983228,124.7 Shadows of Catoctin Farm,24,3005712
87,Poughkeepsie Farm Project,PO Box 3143,Poughkeepsie,New York,12603,http://www.farmproject.org,https://www.facebook.com/farmproject,Lee Anne Albritton,leeanne@farmproject.org,845-516-1100,125.5 Poughkeepsie Farm Project,36,3003189
88,HOG Farm,PO Box 256,Brookhaven,New York,11719,www.hamletorganicgarden.org,https://www.facebook.com/pages/Hamlet-Organic-Garden/106383082746526,Jill and Sean Pilger,mail@hamletorganicgarden.org,631-286-7068,127.1 HOG Farm,36,3003061
89,Citizens of Earth,12600 Piedmont Road,Clarksburg,Maryland,20871,thecitizensofearth.org,https://www.facebook.com/Citizens-of-Earth-466859626793595/,Michael Sheehan,citizens@thecitizensofearth.org,2404829109,127.7 Citizens of Earth,24,3005728
90,Neversink Farm,635 Claryville Road,Claryville,New York,12725,www.neversinkfarm.com,https://www.facebook.com/NeversinkFarm,Conor and Kate Crickmore,farmer@neversinkfarm.com,845-985-2519,128.0 Neversink Farm,36,3003156
91,Yesterdays Favorite Farm,9327 Gap Rd,Waynesboro,Pennsylvania,17268,www.yesterdaysfavoritefarm.com,https://www.facebook.com/yesterdaysfavorites,Kim Mullen,yesterday@innernet.net,717-658-2501,128.6 Yesterdays Favorite Farm,42,3005544
92,Catskill Cattle Co - Catskill Fresh CSA,96 Laurel Bank Ave,Deposit,New York,13754,http://www.catskillfresh.com,http://www.facebook.com/catskillcattle,Lonny Schaefer,lizz@catskillcattle.com,6074675762,130.0 Catskill Cattle Co - Catskill Fresh CSA,36,3005440
93,Spiritual Food CSA,4217 East West Hwy,Bethesda,Maryland,20814,www.spiritualfoodcsa.org,,Victor & Linette Landa,shantiyoga.sol@gmail.com,2406448413,130.3 Spiritual Food CSA,24,3010760
94,Chocolates and Tomatoes Farm,19722 Teakwood Cir,Germantown,Maryland,20874,www.chocolatesandtomatoes.com,www.facebook.com/Chocolates-and-Tomatoes-Farm-169936913209363,Mark a Mills,chocolatesandtomatoes@gmail.com,5712712686,130.4 Chocolates and Tomatoes Farm,24,3005600
95,Common Good City Farm,V Street NW between 2nd and 4th Streets NW,Washington ,District of Columbia,20001,http://commongoodcityfarm.org,https://www.facebook.com/CommonGoodCityFarm,Rachael Callahan,rachael@commongoodcityfarm.org,(202) 559-7513,131.0 Common Good City Farm,11,3005476
96,Royal Kings Farm,14400 Jones Lane,Darnestown,Maryland,20878,,,Katherine Goodier,secretary@ksciregistry.com,2405154791,131.6 Royal Kings Farm,24,3005677
97,4P Foods,"350 G Street SW, Unit N216",Washington,District of Columbia,20024,www.4pfoods.com,https://www.facebook.com/4pfoods,Tom McDougall,Tom@4PFoods.com,7037326664,132.5 4P Foods,11,3005482
98,Sycamore Spring Farm,6003 Elmer Derr Road,Frederick,Maryland,21703,www.sycamorespringfarm.org,https://www.facebook.com/SycamoreSpringFarm,Carol Rollman,sycamorespringfarm@gmail.com,301-788-6980,132.7 Sycamore Spring Farm,24,3001633
99,Solid Ground Farm,205 Hidden Valley Rd,Kingston,New York,12401,http://solidground.farm/,https://www.facebook.com/solidgroundfarmny/,Wes Hannah,solidgroundfarm@gmail.com,518-528-9382,135.3 Solid Ground Farm,36,3010752
100,Rocklands Farm,14525 Montevideo Rd,Poolesville,Maryland,20837,www.RocklandsFarmMD.com,https://www.facebook.com/pages/Rocklands-Farm/389193215655,Greg Glenn,info@rocklandsfarmmd.com,301-825-8075,137.9 Rocklands Farm,24,3001618
101,"Amalthea Ridge, LLC",9713 fringe tree rd.,Great Falls,Virginia,22066,www.amalthearidge.com,,Sarah Wehri,homestead@amalthearidge.com,5719694628,"138.4 Amalthea Ridge, LLC",51,3005733
102,Potomac Vegetable Farms,9627 Leesburg Pike,Vienna,Virginia,22182,www.potomacvegetablefarms.com,,Hana Newcomb,hana.newcomb@gmail.com,703 759 2119,140.0 Potomac Vegetable Farms,51,3005743
103,Zekiah farms LLC ,5235 bryantown rd,Waldorf ,Maryland,20601,Www.zekiahfarms,https://www.facebook.com/zekiahfarmsllc,David thorne,Dcthorne@icloud.com,240-216-4067,140.0 Zekiah farms LLC ,24,3005388
104,Massaro Farm CSA,41 Ford Road,Woodbridge,Connecticut,6525,www.massarofarm.org,https://www.facebook.com/MassaroCommunityFarm,Steve Munno,csa@massarofarmcsa.org,203-736-8618,140.4 Massaro Farm CSA,9,3000501
105,HuckleBerry Fresh,7 North St NE Apt 1,Leesburg ,Virginia,20176,https://huckleberryfresh.luluslocalfood.com/,www.facebook.com/HuckleBerryFresh,Sara Wotherspoon,HuckleBerryFreshVA@gmail.com,7037284407,141.4 HuckleBerry Fresh,51,3005526
106,Healthy Harvest Farm, 2423 Jacksonville Road,Bellefonte,Pennsylvania,16823,http://www.healthyharvestfarmcsa.com/,https://www.facebook.com/HealthyHarvestCSA,Sara Eckert and Dave Sandy,HHfarmCSA@hotmail.com,814-355-2842,141.8 Healthy Harvest Farm,42,3003893
107,East Brook Farm CSA,2253 County Rte 22,Walton,New York,13856,http://eastbrookfarm.com/,https://www.facebook.com/East-Brook-Farm-1668855173394534/,Sarah Williford,eastbrookcommunityfarm@gmail.com,607-865-5529,142.1 East Brook Farm CSA,36,3010768
108,Garden of Eve Organic Farm ,4558 Sound Ave,Riverhead,New York,11901,www.GardenofEveFarm.com,GardenofEve,Eve Kaplan-Walbrecht,farmer@gardenofevefarm.com,6317228777,143.3 Garden of Eve Organic Farm ,36,3011787
109,RO-JO FARMS ,327 Litchfield Tpke,Bethany,Connecticut,6524,WWW.RO-JOFARMS.COM,https://www.facebook.com/RoJoFarms,TOBY FISCHER,FARM@RO-JOFARMS.COM,2036541595,143.3 RO-JO FARMS ,9,3005429
110,Quarter Branch Farm, 40327 Quarter Branch Road,Lovettsville,Virginia,20180,www.quarterbranchfarm.com/,https://www.facebook.com/QuarterBranchFarm,,kevin@quarterbranchfarm.com,,143.8 Quarter Branch Farm,51,3004601
