Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number Combined,Website,Primary SIC Description,Location Sales Volume Range,Credit Score Alpha
Boar's Head Brand,Darron,Lockhart,Male,Director,Western Europe,1950 Industry Pl,Petersburg,VA,23805,Verified,(804) 732-5651,Boarshead.Com,Meat-Wholesale,$100-500 Million,A+
Bold Rock Hard Cider,John,Washburn,Male,Owner,Western Europe,1020 Rockfish Valley Hwy,Nellysford,VA,22958,Verified,(434) 361-1030,Boldrock.Com,Cider Mills,"Less Than $500,000",B+
Breakthru Beverage,Darwin E,Rogers Sr,Male,Partner,Western Europe,5800 Technology Blvd,Sandston,VA,23150,Verified,(757) 424-6300,Breakthrubev.Com,Beverages (Whls),$100-500 Million,A+
Breaux Vineyards,Paul,Breaux,Male,Owner,Western Europe,36888 Breaux Vineyards Ln,Hillsboro,VA,20132,Verified,(540) 668-6299,Breauxvineyards.Com,Vineyards,"$500,000-1 Million",B+
Brown Distributing Co,Brad,Sommers,Male,Vice President,Western Europe,7986 Villa Park Dr,Richmond,VA,23228,Verified,(804) 553-1520,Brown.Com,Distribution Services,$20-50 Million,A
Capitol Chocolate Fountains,Melissa,Guzman,Female,Owner,Hispanic,11510 Robertson Dr,Manassas,VA,20109,Verified,(703) 369-7378,Capitolchocolatefountains.Com,Chocolate & Cocoa (Whls),$5-10 Million,B+
Carroll's Foods Of VA Inc,Jose,DE LA Cadena,Male,Manager,Hispanic,4319 Martin Luther King Hwy,Waverly,VA,23890,Verified,(804) 834-3049,NULL,Farms,"Less Than $500,000",B
Carytown Coffee & Tea Co,Steve,Opilla,Male,Owner,Hispanic,14300 Midlothian Tpke,Midlothian,VA,23113,Verified,(804) 378-2363,NULL,Coffee & Tea-Wholesale,$5-10 Million,B
Casanel Vineyards,Nelson,DE Souza,Male,Owner,Hispanic,17956 Canby Rd,Leesburg,VA,20175,Verified,(540) 751-1776,Casanelvineyards.Com,Vineyards,"Less Than $500,000",B+
Catie Food Systems,Malcolm,Pike,Male,President,Western Europe,885 Franklin Tpke,Danville,VA,24540,Verified,(434) 836-6436,Catiefoodsystems.Com,Food Products (Whls),$5-10 Million,B+
Cave Ridge Vineyard,Randy,Phillips,Male,Owner,Western Europe,1476 Conicville Rd,Mount Jackson,VA,22842,Verified,(540) 477-2585,Eventective.Com,Wineries (Mfrs),$1-2.5 Million,B
Ccr Retail Systems,Robert,Pinto,Male,Owner,Hispanic,11138 Air Park Rd # J,Ashland,VA,23005,Verified,(804) 550-3300,NULL,Cash Registers & Supplies-Manufacturers,"$500,000-1 Million",B
Cecil Holler Poultry,Cecil,Holler,Male,Owner,African American,19995 Senedo Rd,Edinburg,VA,22824,Verified,(540) 984-3777,NULL,Trucking,$1-2.5 Million,B+
Cheesecake Farms,Karla,Seidita,Female,Owner,Hispanic,4085 Sumerduck Rd,Sumerduck,VA,22742,Verified,(540) 439-2188,Cheesecakefarms.Com,Farms,"Less Than $500,000",B
Chesapeake Bay Packing LLC,Don,Wolfley,Male,Vice President,Western Europe,800 Terminal Ave,Newport News,VA,23607,Verified,(757) 244-8440,Chesapeakebaypacking.Com,Prepared Fish & Seafood Products (Mfrs),$5-10 Million,A+
Christmas Pet Suplrs-Buy,King,Lione,Male,Owner,African American,1690 Cargreen Rd,Richmond,VA,23173,Verified,(936) 666-1279,Besthuskies.Com,Pet Supplies & Foods-Retail,$1-2.5 Million,B+
Colonial Door & Glass Inc,Donald,Munden,Male,Owner,Hispanic,12701 Oak Lake Ct,Midlothian,VA,23112,Verified,(804) 639-5672,Colonialdoorandglass.Com,Glass-Manufacturers,$2.5-5 Million,A
Corchris Seafood,Corazon,Castillo,Female,Owner,Hispanic,3400 Azalea Garden Rd # 5,Norfolk,VA,23513,Verified,(757) 853-3323,NULL,Seafood-Wholesale,$1-2.5 Million,C+
Costco Wholesale,Victor,Curtis,Male,Senior VP,Western Europe,850 Glenrock Rd,Norfolk,VA,23502,Verified,(757) 459-4471,Costco.Com,Wholesale Clubs,$20-50 Million,A+
Cuisine Solutions Inc,Marc,Brennet,Male,Vice President,Uncoded,22445 Sous Vide Ln # 100,Sterling,VA,20166,Verified,(703) 270-2900,Cuisinesolutions.Com,Food Products & Manufacturers,,A+
Deer Ridge Landscaping,Jerome,Albino,Male,Owner,Hispanic,1624 Boles Pl,Virginia Beach,VA,23454,Verified,(757) 353-7233,NULL,Landscape Designers,"Less Than $500,000",C+
Defense Commissary Agency,Tammy,Reed,Female,Vice President,Western Europe,1300 E Ave,Fort Lee,VA,23801,Verified,(804) 734-8253,Commissaries.Com,Grocers-Retail,,A+
Defense Commissary Agency,Nadine,Johnson,Female,Director,Western Europe,51 Spaatz Dr # 291,Hampton,VA,23665,Verified,(757) 764-7604,Agbr.Com,Grocers-Retail,$20-50 Million,A+
Defense Commissary Agency,Dennis,Pimento,Male,Director,Hispanic,1300 Oceana Blvd # 3070,Virginia Beach,VA,23454,Verified,(757) 428-6401,Commissaries.Com,Grocers-Retail,"Less Than $500,000",A+
Devil Dog Ranch,Tina,Silva,Female,Owner,Hispanic,4811 Waymacks Rd,Charles City,VA,23030,Verified,Not Available,NULL,Ranches,"Less Than $500,000",C
El Nopal Mexican Restaurant,Tomas,Dinera,Male,Owner,Hispanic,5205 S Laburnum Ave,Richmond,VA,23231,Verified,(804) 226-0373,NULL,Restaurants,"Less Than $500,000",B
El Rincon Hispano LLC,Victor,Martinez,Male,Owner,Hispanic,215 S East St,Culpeper,VA,22701,Verified,(540) 829-9488,NULL,Restaurants,"Less Than $500,000",C
Elvira Landscaping,Ed,Elvira,Male,Owner,Hispanic,225 Caldwell Ln,Winchester,VA,22602,Verified,(540) 665-4447,Elviralandscaping.Com,Landscape Designers,$1-2.5 Million,A
Epard Investment Properties,Tyrone,Epard,Male,Principal,African American,23345 Senedo Rd,Woodstock,VA,22664,Verified,(540) 459-5807,Shentel.Com,Farms,"Less Than $500,000",C+
Farm Burguesa,Freddy,Oviedo,Male,Manager,Hispanic,1908 Memorial Ave SW,Roanoke,VA,24015,Verified,(540) 566-3377,Farmburguesa.Com,Restaurants,"$500,000-1 Million",B+
French Bread Factory Inc,Napolean,Maltez,Male,President,Hispanic,44225 Mercure Cir # 170,Sterling,VA,20166,Verified,(703) 761-4070,Kimberly-Maltez-305s.Squarespace.Com,Manufacturers,$1-2.5 Million,B+
Frito-Lay Inc,Elaine,Secor,Female,Director,Hispanic,230 Jefferson Ridge Pkwy,Lynchburg,VA,24501,Verified,(434) 316-5700,Potatopro.Com,Food Products (Whls),$10-20 Million,A
G & G Ace Hardware,Elizabeth,Ferrer,Female,Manager,Hispanic,17434 Gravatt Rd,Milford,VA,22514,Verified,(804) 633-6690,Southernstates.Com,Hardware-Retail,$1-2.5 Million,A
George's Inc,Robert,Kenney,Male,President,Western Europe,19992 Senedo Rd,Edinburg,VA,22824,Verified,(540) 984-4121,Georgesinc.Com,Poultry Processing Plants (Mfrs),$100-500 Million,A+
Global Foods,Isaac,Amo,Male,Manager,Hispanic,4928b Eisenhower Ave,Alexandria,VA,22304,Verified,(703) 212-8500,NULL,Grocers-Wholesale,$5-10 Million,B
Goya Foods Of Virginia,Luis,Ramos,Male,Manager,Hispanic,6040 Quality Way,Prince George,VA,23875,Verified,(804) 451-2241,Goya.Com,Food Products (Whls),$50-100 Million,A+
H & H Cattle Sales,Cecil,Hatcher,Male,Owner,African American,1211 Coleman Rd,Scottsburg,VA,24589,Verified,(434) 454-7213,NULL,Livestock Buyers (Whls),$5-10 Million,B+
Hand Picked Selections,Daniel,Kravitz,Male,Owner,Not Available,400 Holiday Ct # 201,Warrenton,VA,20186,Verified,(540) 347-9400,Handpickedselections.Com,Wines-Wholesale,$5-10 Million,B+
Harris Teeter,Bob,Causebrook,Male,General Mgr,Western Europe,900 Army Navy Dr # A1,Arlington,VA,22202,Verified,(703) 413-7112,Harristeeter.Com,Grocers-Retail,$20-50 Million,A
Helena Agri-Enterprises,Mike,Rincon,Male,Manager,Hispanic,1 Harkness Blvd # 400,Fredericksburg,VA,22401,Verified,(540) 899-5391,Helenaagri.Com,Agricultural Chemicals (Whls),$2.5-5 Million,B+
Helena Agri-Enterprises,Thacher,DE Stefano,Male,Manager,Hispanic,4431 Early Rd,Rockingham,VA,22801,Verified,(540) 438-7550,Helenaagri.Com,Agricultural Products,"Less Than $500,000",B+
High Liner Foods USA Inc,Aevar,Agnarsson,Male,CEO,Uncoded,190 Enterprise Dr,Newport News,VA,23603,Verified,(757) 820-4000,Highlinerfs.Com,Seafood-Wholesale,$100-500 Million,A+
James River Cellars Winery,Maria,Candler,Female,President,Western Europe,11008 Washington Hwy,Glen Allen,VA,23059,Verified,(804) 550-3500,Jamesrivercellars.Com,Wineries (Mfrs),$10-20 Million,A
Karlacti Inc,Ara,Baghdassarain,Female,President,Centl & SW Asian,4012 Middle Ridge Dr,Fairfax,VA,22033,Verified,(703) 647-9589,Karlacti.Com,Dairy Products-Wholesale,$5-10 Million,B
Karoun Dairies Inc,Ara,Baghdassarian,Female,Owner,Centl & SW Asian,4012 Middle Ridge Dr,Fairfax,VA,22033,Verified,(818) 767-7000,Karouncheese.Com,Dairy Farms,"$500,000-1 Million",B
LA Charrita,Moses,Hernandez,Male,Owner,Hispanic,1109 W Atlantic St,South Hill,VA,23970,Verified,(434) 447-2396,NULL,Food Products (Whls),$2.5-5 Million,B
LA Lomita Store LLC,Martin,Bernal,Male,Owner,Hispanic,215 E Culpeper St,Culpeper,VA,22701,Verified,(540) 825-6800,NULL,Restaurants,"Less Than $500,000",C+
Lancaster Farms,Art,Parkerson,Male,CEO,Western Europe,5800 Knotts Neck Rd,Suffolk,VA,23435,Verified,(757) 484-4421,Lancasterfarms.Com,Farms,$5-10 Million,A
M Price Distributing Co,Chance,Price,Male,President,Western Europe,1 Budweiser St,Hampton,VA,23661,Verified,(757) 722-1911,NULL,Beer & Ale-Wholesale,$20-50 Million,A+
Manolo & Son LLC,Manolo,Ribadulla,Male,Owner,Hispanic,809 Pendleton St,Alexandria,VA,22314,Verified,(703) 683-0013,Masseafood.Com,Seafood-Wholesale,$5-10 Million,B+
Maple Leaf Bakery,Scott,Donnell,Male,Site Manager,Western Europe,1955 Blue Hills Dr NE,Roanoke,VA,24012,Verified,(540) 343-0143,Mapleleaf.Ca,Bread/Other Bakery Prod-Ex Cookies,$50-100 Million,A+
Massimo Zanetti Beverage USA,Chuck,Gosstrom,Male,Senior VP,Scandinavian,1200 Court St,Portsmouth,VA,23704,Verified,(757) 393-0170,Mzb-Usa.Com,Coffee & Tea-Wholesale,$5-10 Million,B+
Mc Kee Foods,Debbie,King,Female,Administrator,Western Europe,272 Patton Farm Rd,Stuarts Draft,VA,24477,Verified,(540) 943-7101,Mckeefoods.Com,Bread/Other Bakery Prod-Ex Cookies,$100-500 Million,A+
Morais Vineyards & Winery Inc,Joe,Morais,Male,Owner,Hispanic,11409 Marsh Rd,Bealeton,VA,22712,Verified,(540) 326-6336,Moraisvineyards.Com,Wines-Retail,"$500,000-1 Million",B
Natrlawn Of America-North,Mark,Tavares,Male,Manager,Hispanic,8171 Staples Mill Rd,Richmond,VA,23228,Verified,(804) 553-9648,NULL,Organic Farms,"Less Than $500,000",C+
Nazaret Cultutral Foods LLC,Manaye,Dinku,Male,Owner,African American,656 S Pickett St,Alexandria,VA,22304,Verified,(703) 212-8907,NULL,Food Products (Whls),$5-10 Million,B+
Nestle USA Inc,Steve,Presley,Male,CEO,Western Europe,1812 N Moore St # 118,Arlington,VA,22209,Verified,(703) 682-4600,Nestleusa.Com,Food Products & Manufacturers,,A+
Nutravail LLC,Rick,O'Neil,Male,CEO,Western Europe,14790 Flint Lee Rd # 100,Chantilly,VA,20151,Verified,(703) 222-6340,Nutravail.Com,Food Products (Whls),,A+
Obeng International Wholesale,John,Obeng,Male,Owner,African American,10595 Furnace Rd,Lorton,VA,22079,Verified,(703) 493-8904,NULL,Food Products (Whls),$2.5-5 Million,B
Old Bust Head Brewing Co,Ike,Broaddus,Male,Owner,Western Europe,7134 Farm Station Rd,Warrenton,VA,20187,Verified,(540) 347-4777,Oldbusthead.Com,Beer & Ale-Wholesale,$2.5-5 Million,B
Oyster Seed Holding LLC,Rufus,Ruark,Male,Other,African American,425 Callis Wharf Rd,Hudgins,VA,23076,Verified,(804) 725-3046,Oshoyster.Com,Farms,"Less Than $500,000",C+
Panaderia Jessys,Jessica,Romero,Female,Owner,Hispanic,799 Chimney Hill Shopping Ctr,Virginia Beach,VA,23452,Verified,(757) 675-0497,NULL,Bakers-Wholesale,$5-10 Million,C
Panaderia Y Pasteleria Mi Pbl,Angel,Cortez,Male,Manager,Hispanic,8401 Richmond Hwy # F,Alexandria,VA,22309,Verified,(703) 746-8697,NULL,Bakers-Retail,"Less Than $500,000",C+
Pepsi Beverages Co,Taylor,Andrews,,Regional Mgr,Western Europe,3008 Mechanicsville Tpke,Richmond,VA,23223,Verified,(804) 644-7032,Pepsico.Com,Bottlers (Mfrs),$100-500 Million,A+
Performance Food Group Co,George L,Holm,Male,CEO,Scandinavian,12500 West Creek Pkwy,Richmond,VA,23238,Verified,(804) 484-7700,Pfgc.Com,Food Products (Whls),,A+
Pine Ridge Farm LLC,Ervin,Horst,Male,Owner,African American,7141 Horeb Church Rd,Dayton,VA,22821,Verified,(540) 867-9591,NULL,Real Estate,"Less Than $500,000",B+
Premium Distributors Of VA LLC,Ph,Mclaughlin,Male,President,Western Europe,15001 Northridge Dr,Chantilly,VA,20151,Verified,(703) 227-1200,Premiumdistributorsofva.Com,Beer & Ale-Wholesale,,A+
Premium Distributors Of VA LLC,Lane,Medlin,Male,Director,Western Europe,2290 Dabney Rd,Richmond,VA,23230,Verified,(804) 355-4943,Premiumdistributorsofva.Com,Beer & Ale-Wholesale,$100-500 Million,A+
Pupuseria El Milagro Rstrnt,Maria,Valasco,Female,Owner,Hispanic,620 Hawkins St,Harrisonburg,VA,22801,Verified,(540) 433-2528,Pupuseriaelmilagro.Com,Restaurants,"Less Than $500,000",B
Reddy Ice,Randy,Odeavers,Male,Site Manager,Uncoded,610 Pleasant Valley Rd,Harrisonburg,VA,22801,Verified,(540) 433-2751,Reddyice.Com,Ice-Manufacturers,$10-20 Million,A+
Reinhart Foodservice LLC,Chip,Mcfall,Male,President,Western Europe,1201 Progress Rd,Suffolk,VA,23434,Verified,(757) 538-8000,Rfsdelivers.Com,Food Products & Manufacturers,$20-50 Million,A+
Republic National Distributing,Joseph,Gigliotti,Male,President,Mediterranean,14038 Washington Hwy,Ashland,VA,23005,Verified,(757) 877-6905,Ndcweb.Com,Liquors-Wholesale,$100-500 Million,A+
Restaurant Depot,Robert,Samuels,Male,Manager,Western Europe,4600 Eisenhower Ave,Alexandria,VA,22304,Verified,(703) 461-4720,Restaurantdepot.Com,Wholesale Clubs,$10-20 Million,A
Restaurant Depot,Jameel,Staten,Male,Site Manager,African American,7951 Brook Rd,Richmond,VA,23227,Verified,(804) 266-7600,Restaurantdepot.Com,Wholesale Clubs,$1-2.5 Million,A
Rhodes Family Farm,Lamar,Rhodes,Male,Owner,African American,2975 W Dry River Rd,Dayton,VA,22821,Verified,(540) 879-2922,NULL,Dairy Farms,$1-2.5 Million,B
Roanoke Fruit & Produce,Matthew,Garay,Male,General Mgr,Hispanic,1119 4th St SE,Roanoke,VA,24013,Verified,(540) 343-5501,Gottrust.Org,Fruits & Vegetables-Wholesale,$20-50 Million,A+
Roanoke Valley Wine Co,Rob,Crittenden,Male,Owner,Western Europe,1250 Intervale Dr,Salem,VA,24153,Verified,(540) 444-4440,Rvwc.Com,Importers (Whls),$20-50 Million,A
S & K Industries Inc,Eugene F,Suarez Sr,Male,President,Hispanic,9209 Enterprise Ct # C,Manassas Park,VA,20111,Verified,(703) 369-0232,Abuelita.Com,Food Products & Manufacturers,$10-20 Million,A
Sam's Club,Jeremiah,Moody,Male,Site Manager,African American,21483 Market Ctr,Bristol,VA,24202,Verified,(276) 466-7390,Samsclub.Com,Wholesale Clubs,$5-10 Million,A
Sam's Club,Chad,Kelley,Male,General Mgr,Western Europe,970 Hilton Heights Rd,Charlottesville,VA,22901,Verified,(434) 978-2122,Samsclub.Com,Wholesale Clubs,$5-10 Million,A
Sam's Club,Jose,Candelaria,Male,Manager,Hispanic,1501 Sams Cir,Chesapeake,VA,23320,Verified,(757) 436-7119,Samsclub.Com,Wholesale Clubs,$20-50 Million,A
Sam's Club,Corey,Willis,Male,General Mgr,Western Europe,9440 W Broad St,Richmond,VA,23294,Verified,(804) 346-3031,Samsclub.Com,Wholesale Clubs,$20-50 Million,A
Scoops 2 U,Jeffery,Smith,Male,Director,Western Europe,5410 Port Royal Rd # C,Springfield,VA,22151,Verified,(703) 536-3131,Scoops2u.Com,Ice Cream Parlors,$1-2.5 Million,B+
Shenandoah Growers Inc,Timothy,Heydon,Male,CEO,Western Europe,3156 N Valley Pike,Rockingham,VA,22802,Verified,(540) 896-6939,Shenandoahgrowers.Com,Herbs,$2.5-5 Million,B+
Shenandoah Valley Organic LLC,Corwin,Heatwole,Male,CEO,African American,779 Massanutten St,Harrisonburg,VA,22802,Verified,(540) 433-8400,Svorganic.Com,Organic Farms,"Less Than $500,000",C+
Shenandoah Valley Organic LLC,Corwin,Heatwole,Male,CEO,African American,PO Box 189,Harrisonburg,VA,22803,Verified,(540) 246-0922,NULL,Organic Farms,"Less Than $500,000",C+
Shores & Ruark Seafood Co Inc,Rufus,Ruark,Male,Owner,African American,453 Johnsons Dr,Urbanna,VA,23175,Verified,(804) 758-5640,NULL,Seafood-Wholesale,$2.5-5 Million,B+
Sigma,Claudio,Colmignoli,Male,CEO,Hispanic,1800 Ruffin Mill Rd,South Chesterfield,VA,23834,Verified,(804) 520-7775,Vivacampofrio.Com,Meat Packers (Mfrs),,A+
Southeast Cold Storage,Dave,Miller,Male,Vice President,Western Europe,5601 Corrugated Rd,Sandston,VA,23150,Verified,(305) 652-4622,Southeastcoldstorage.Com,Frozen Foods-Wholesale,$100-500 Million,A
Southern States Co-Op Inc,Jeff,Stroburg,Male,CEO,Uncoded,6606 W Broad St # B,Richmond,VA,23230,Verified,(804) 281-1000,Southernstates.Com,Farmers Co-Op Retail Stores,,A+
State Liquor Store 339,Stephen,Rodriguez,Male,Manager,Hispanic,208 Laurel Hill Rd # 108,Verona,VA,24482,Verified,(540) 248-9327,Abc.Virginia.Gov,Liquors-Retail,$1-2.5 Million,B+
Thompson Hospitality Corp,Warren M,Thompson,Male,President,Western Europe,1741 Business Center Dr # 200,Reston,VA,20190,Verified,(703) 757-5500,Thompsonhospitality.Com,Restaurant Management,,A
Timber Ridge Fruit Farm,Cordell,Watt,Male,Owner,African American,311 Muse Rd,Gore,VA,22637,Verified,(540) 858-3207,Timberridgefruitfarm.Com,Fruits & Vegetables-Growers & Shippers,$20-50 Million,A+
Tri Cities Beverage,Jack,Georgalis,Male,Owner,Mediterranean,612 Industrial Park Dr,Newport News,VA,23608,Verified,(757) 874-6600,Tricitiesbeverage.Com,Beer & Ale-Wholesale,$100-500 Million,A+
Tropical Smoothie Cafe,Mike,Qader,Male,Owner,African American,3978 Fettler Park Dr # A,Dumfries,VA,22025,Verified,(703) 291-5097,Tropicalsmoothiecafe.Com,Juice Bars,"$500,000-1 Million",B+
Tyson Foods Inc,Demetrius,Starling,Male,General Mgr,African American,13264 Mountain Rd,Glen Allen,VA,23059,Verified,(804) 798-8357,Tyson.Com,Poultry Farms,$500m - $1 Billion,A+
Tyson Foods Inc,Bill,Ricken,Male,Manager,Western Europe,11224 Lankford Hwy,Temperanceville,VA,23442,Verified,(757) 824-3471,Tyson.Com,Frozen Food Processors (Mfrs),$100-500 Million,A+
US Foods,David,Bunk,Male,President,Western Europe,11994 Livingston Rd,Manassas,VA,20109,Verified,(703) 631-6300,Usfoods.Com,Food Service-Distributors (Whls),$500m - $1 Billion,A+
Washington Lamb,Charles,Sabbouh,Male,Owner,Uncoded,7963 Conell Ct,Lorton,VA,22079,Verified,(703) 339-7000,Washingtonlamb.Com,Meat-Wholesale,$20-50 Million,A+
Wetten Importers Inc,Zach,Cook,Male,Regional Mgr,Western Europe,4605 Brookfield Corporate Dr,Chantilly,VA,20151,Verified,(703) 444-9420,NULL,Importers (Whls),$2.5-5 Million,B+
Whites Travel Ctr,David,White,Male,President,Western Europe,2440 Raphine Rd,Raphine,VA,24472,Verified,(540) 377-4105,Am-Best.Com,Health Food Products-Wholesale,$10-20 Million,A
William's Corner Wines,Nicolas,Mestre,Male,Principal,Hispanic,1112 East Market St # B22,Charlottesville,VA,22902,Verified,(434) 566-7079,NULL,Wine Brokers (Whls),$10-20 Million,B+
Windy Grove Farm,Geneva,Wakeman,Female,Owner,African American,499 Wolverton Rd,Edinburg,VA,22824,Verified,(540) 984-4893,NULL,Farming Service,"Less Than $500,000",C+
Winebow Group LLC,David,Townsend,Male,CEO,Western Europe,4800 Cox Rd # 300,Glen Allen,VA,23060,Verified,(804) 752-3670,Thewinebowgroup.Com,Wines-Wholesale,,A+
Demarco's Meat Market,Sam,DE Marco,Male,Owner,Hispanic,417 Pike St,Shinnston,WV,26431,Verified,(304) 592-2495,NULL,Meat-Wholesale,$1-2.5 Million,C+
Jefferson Distributing Co Inc,Robert,Mc Millan,Male,Owner,Western Europe,799 Mid Atlantic Pkwy,Martinsburg,WV,25404,Verified,(304) 263-3841,Jeffersondistributing.Com,Beer & Ale-Wholesale,$20-50 Million,A+
LA Famiglia,Ralph,Hagy,Male,Owner,Western Europe,1327 6th Ave,Huntington,WV,25701,Verified,(304) 523-1008,Lafamigliawv.Com,Health Spas,"Less Than $500,000",U
Nicholas Turkey Breeding Farms,Jihad,Douglas,Male,President,African American,31186 Midland Trl E,Lewisburg,WV,24901,Verified,(304) 793-2680,NULL,Turkey Farms,$5-10 Million,A
Owl Creek Farm,Delmar,Yoder,Male,Owner,African American,640 Goshen Rd,Morgantown,WV,26508,Verified,(304) 291-0409,Owlcreekfarm.Webs.Com,Farms,"Less Than $500,000",C+
Sam's Club,Tim,Potesta,Male,Manager,Hispanic,200 Emily Dr,Clarksburg,WV,26301,Verified,(304) 623-6410,Samsclub.Com,Wholesale Clubs,$20-50 Million,A
Sam's Club,Jacob,Atkins,Male,Manager,Western Europe,1100 Grand Central Ave,Vienna,WV,26105,Verified,(304) 295-0280,Samsclub.Com,Wholesale Clubs,$20-50 Million,A
Save-A-Lot Food Stores,Shawna,Grissith,Female,Manager,African American,1055 Stafford Dr,Princeton,WV,24740,Verified,(304) 425-1679,Savealot.Com,Grocers-Retail,$2.5-5 Million,A
Saville Wendell Leroy Buck,Wendell,Saville,Male,Owner,African American,1633 Mount Olive Rd,Rio,WV,26755,Verified,(304) 897-6234,NULL,Poultry Farms,"Less Than $500,000",C
Standard Exterminating Co,Beth,Combs,Female,Manager,Western Europe,100 Straley Ave,Princeton,WV,24740,Verified,(304) 425-7720,Standardwv.Com,Pest Control,"Less Than $500,000",B
