Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number,Website,Primary SIC Description,Location Sales Range,Credit Alpha Score
American Key Products Inc,Luis,Mansueto,Male,Manager,Hispanic,1 Reuten Dr # 2,Closter,NJ,7624,Verified,(201) 767-8022,NULL,General Merchandise-Retail,"$500,000-1 Million",C+
American Seafood Imports Inc,Raul,Delgado,Male,Director,Hispanic,600 Godwin Ave # 5,Midland Park,NJ,7432,Verified,(201) 568-2525,Americanseafoodimports.Com,Seafood-Wholesale,$10-20 Million,A
Anheuser-Busch Brewery,Chris,Ternet,Male,Director,Western Europe,200 US Highway 1 And 9,Newark,NJ,7114,Verified,(973) 645-7700,Anheuser-Busch.Com,Brewers (Mfrs),$1-2.5 Million,B
Aquariums By Jj,Javier,Perez,Male,Owner,Hispanic,55 Main St,Bloomingdale,NJ,7403,Verified,(973) 908-4951,NULL,Aquariums & Aquarium Supls,"Less Than $500,000",C+
Aquatrols Corp Of America,Tracy,Jarman,Female,CEO,Western Europe,1273 Imperial Way,West Deptford,NJ,8066,Verified,(856) 537-6003,Simpleturfsolutions.Com,Manufacturers,$1-2.5 Million,B+
Arla Foods Ingredients,Ramanujam,Kalathur,,Vice President,Uncoded,106 Allen Rd # 401,Basking Ridge,NJ,7920,Verified,(908) 604-8551,Arlausa.Com,Food Facilities-Consultants,$2.5-5 Million,B+
Arribanoir Chocolatie,Ramon,Recalde,Male,Manager,Hispanic,480 State Route 33 # 33,Millstone Township,NJ,8535,Verified,(732) 851-4815,NULL,Chocolate & Cocoa (Whls),$2.5-5 Million,B
Arvin Produce & Garden Ctr,Vincent,DE Stefano,Male,Owner,Hispanic,3535 US Highway 22,Somerville,NJ,8876,Verified,(908) 534-2646,Arvingarden.Com,Fruits & Vegetables-Wholesale,$2.5-5 Million,B
Aryzta LA Brea Bakery Inc,Patrick,Brannigan,Male,Vice President,Western Europe,11 Technology Dr # B,Swedesboro,NJ,8085,Verified,(856) 417-8100,Labreabakery.Com,Bakers-Wholesale,$500m - $1 Billion,A+
Atalanta Corp,George G,Gellert,Male,CEO,Western Europe,1 Atlanta Plz # 3,Elizabeth,NJ,7206,Verified,(908) 351-8000,Atalanta1.Com,Marketing Programs & Services,0,A+
Atlantic Tropical Markets,Max,Rodriguez,Male,Owner,Hispanic,351 8th St,Hoboken,NJ,7030,Verified,(201) 420-0551,NULL,Frozen Foods-Wholesale,$10-20 Million,B+
Automatic Rolls Of New Jersey,Jackie,Rivera,Female,HR Executive,Hispanic,1 Gourmet Ln,Edison,NJ,8837,Verified,(732) 549-2243,Nefoods.Com,Bakers-Retail,$5-10 Million,A+
B & B Poultry Co,Minet,Saldivar,,Manager,Hispanic,Almond Rd,Norma,NJ,8347,Verified,(856) 692-8893,NULL,Poultry Processing Plants (Mfrs),$20-50 Million,A+
B K Specialty Foods Inc,Jennifer,Gardner,Female,Manager,Western Europe,200 Eagle Ct,Swedesboro,NJ,8085,Verified,(856) 241-7364,NULL,Food Products (Whls),$10-20 Million,B+
Babco Foods,Robert,Vaz,Male,CEO,Hispanic,201 Circle Dr N # 115,Piscataway,NJ,8854,Verified,(732) 667-7577,Babcofoods.Com,Food Products (Whls),$10-20 Million,A
Baker's Perfection Inc,Pat,Amello Sr,Male,Owner,Hispanic,198 Green Pond Rd # 5,Rockaway,NJ,7866,Verified,(973) 983-0700,Bakersperfection.Com,Bakers-Wholesale,$10-20 Million,B+
Barbera Seafood Produce,Dominic,Alcaro,Male,Owner,Hispanic,2243 Arctic Ave,Atlantic City,NJ,8401,Verified,(609) 345-0671,NULL,Prepared Fish & Seafood Products (Mfrs),"$500,000-1 Million",B+
Bay State Milling Co,Brian,Miller,Male,Regional Mgr,Western Europe,404 Getty Ave,Clifton,NJ,7011,Verified,(973) 772-3400,Baystatemilling.Com,Milling (Mfrs),$50-100 Million,A
Benny's Gel Spices Distributor,Benny A,Tejeda,Male,Owner,Hispanic,12 Sanford St,Clifton,NJ,7011,Verified,(862) 273-1227,NULL,Spices-Wholesale,$5-10 Million,C
Bertolotti Inc,John,Camisa,Male,Owner,Hispanic,54 Industrial Ave,Fairview,NJ,7022,Verified,(201) 941-3116,NULL,Ice Cream & Frozen Desserts-Distr (Whls),$10-20 Million,B+
Best Foods,Kees,Kruythoff,Male,President,Western Europe,800 Sylvan Ave,Englewood Cliffs,NJ,7632,Verified,(201) 567-8000,Bestfoods.Com,Pickled Fruits/Vegs & Dressings (Mfrs),0,A+
Best Provision Co Inc,Floyd,Jason,Male,President,Western Europe,144 Avon Ave,Newark,NJ,7108,Verified,(973) 242-5000,NULL,Sausages/Other Prepared Meat Prod (Mfrs),$20-50 Million,A+
Beverage Works,Vito,Claps,Male,President,Mediterranean,10 Dwight Pl,Fairfield,NJ,7004,Verified,(973) 439-5700,NULL,Beverages (Whls),$50-100 Million,A
Beverage Works,Mark,Ponsiglione,Male,President,Mediterranean,101 Crawfords Corner Rd # 2301,Holmdel,NJ,7733,Verified,(973) 439-5700,NULL,Beverages (Whls),$50-100 Million,A
Beverage Works Inc,Paul,Martelloni,Male,Director,Uncoded,1709 State Route 34,Wall Township,NJ,7727,Verified,(732) 938-7600,Thebeverageworks.Com,Beverages (Whls),$5-10 Million,B
Beverage Works Ny Inc Distr,Rob,Falicito,Male,Mfg Exec,Hispanic,2211 Allenwood Rd,Wall Township,NJ,7719,Verified,(732) 938-5182,Thebeverageworks.Com,Fruit Juices (Whls),$50-100 Million,A
Biazzo Dairy Products Inc,John,Iapichino Jr,Male,President,Mediterranean,1145 Edgewater Ave,Ridgefield,NJ,7657,Verified,(201) 941-8579,Biazzo.Com,Cheese Processors (Mfrs),$50-100 Million,A
Bindi North America,Giacomo,Berretta,Male,Vice President,Mediterranean,630 Belleville Tpke,Kearny,NJ,7032,Verified,(973) 812-8118,Bindiusa.Com,Bakers-Wholesale,0,A
Bio Foods,Robert,Biesiada,Male,Manager,Hispanic,166 Manchester Pl,Newark,NJ,7104,Verified,(973) 485-3505,NULL,Food Products (Whls),$1-2.5 Million,C+
BJ'S Wholesale Club,Jeff,Fireman,Male,Director,Western Europe,1910 Deptford Center Rd,Deptford,NJ,8096,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Jose,Rodriguez,Male,Director,Hispanic,300 State Rt 17,East Rutherford,NJ,7073,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Timothy,Heeber,Male,Director,Uncoded,396 Marin Blvd,Jersey City,NJ,7302,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Hairo,Trinadad,Male,Director,Hispanic,1001 E Edgar Rd,Linden,NJ,7036,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Gina,Bisceglia,Female,Director,Mediterranean,131 E Kings Hwy,Maple Shade,NJ,8052,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Toniann,Farinella,Female,Director,Mediterranean,2451 US Highway 1 # South,North Brunswick,NJ,8902,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Hairo,Trinidad,Male,Director,Hispanic,1007 US Highway 9,Old Bridge,NJ,8857,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
BJ'S Wholesale Club,Joanne,Kurz,Female,Director,Western Europe,30 N State Rt 17,Paramus,NJ,7652,Verified,(856) 232-8880,Bjs.Com,Wholesale Clubs,$10-20 Million,A
Black River Farm,Alicia,Madretzke,Female,Other,Hispanic,PO Box 338,Far Hills,NJ,7931,Verified,(908) 507-4055,Blackriverfarm.Biz,Farms,"Less Than $500,000",C
Breakthru Beverage New Jersey,Jon,Maslin,Male,CEO,Not Available,10 Patton Dr,West Caldwell,NJ,7006,Verified,(973) 228-5100,Breakthrubev.Com,Beverages (Whls),$100-500 Million,A
Breakwater Treatment-Wellness,Andrew,Zaleski,Male,General Mgr,Eastern European,2 Corporate Dr # E,Cranbury,NJ,8512,Verified,(732) 703-7300,NULL,Marijuana Growers/Cultivators,"Less Than $500,000",B
Bridor USA,Barry,Blick,Male,Director,Not Available,2260 Industrial Way,Vineland,NJ,8360,Verified,(856) 691-3839,Bridor.Com,Bakers-Wholesale,$2.5-5 Million,B
Brookside Farms,Greg,DE Stefano,Male,Owner,Hispanic,806 US Highway No 202,Neshanic Station,NJ,8853,Verified,(908) 782-6658,NULL,Farms,"Less Than $500,000",C+
Burger Maker Inc,David,Schweid,Male,Owner,Western Europe,666 16th St,Carlstadt,NJ,7072,Verified,(201) 939-0444,Schweidandsons.Com,Meat Products (Mfrs),$100-500 Million,A+
C & J Brothers,Camilo,Nunez,Male,Owner,Hispanic,235 W Railway Ave,Paterson,NJ,7503,Verified,(973) 684-4300,NULL,Grocers-Wholesale,$2.5-5 Million,B
C & S Wholesale Grocers Inc,Stephen,Syperski,Male,Director,Eastern European,160 Fieldcrest Ave # A,Edison,NJ,8837,Verified,(732) 225-0678,Cswg.Com,Grocers-Wholesale,$10-20 Million,B+
Campbell Soup Co,Mark A,Clouse,Male,CEO,Western Europe,1 Campbell Pl # Sw4,Camden,NJ,8103,Verified,(856) 342-4800,Campbellsoupcompany.Com,Food Products & Manufacturers,0,A+
Campbell Soup Co,James,Gilbert,Male,CEO,Western Europe,3 Executive Campus # 430,Cherry Hill,NJ,8002,Verified,(856) 342-4800,Campbellsoupcompany.Com,Food Products & Manufacturers,0,A+
Canada Dry Bottling Co,Kevin,Scullin,Male,Manager,Western Europe,11 Canale Dr,Egg Harbor Township,NJ,8234,Verified,(609) 645-7070,NULL,Bottlers (Mfrs),$20-50 Million,A
Caribe Food Market,Angela,Melo,Female,Manager,Hispanic,572 15th Ave,Newark,NJ,7103,Verified,(973) 286-0808,NULL,Grocers-Wholesale,$2.5-5 Million,B
Casas Inc,Antonio,Casas,Male,Owner,Hispanic,23 Lillian Ct,Ramsey,NJ,7446,Verified,(201) 934-6003,NULL,Food Brokers (Whls),$1-2.5 Million,C+
Catelli Brothers Inc,Anthony,Catelli,Male,Owner,Mediterranean,50 Ferry Ave,Camden,NJ,8103,Verified,(856) 869-9293,Catellibrothers.Com,Meat-Wholesale,$100-500 Million,A+
Central Avenue Liquors,Joseph,Stolz,Male,Owner,Western Europe,210 Central Ave,Jersey City,NJ,7307,Verified,(201) 792-1500,Centralavewines.Com,Liquors-Retail,$1-2.5 Million,B+
Chelten House Products Inc,Steve,Dabrow,Male,CEO,Uncoded,607 Heron Dr,Swedesboro,NJ,8085,Verified,(856) 467-1600,NULL,Pickled Fruits/Vegs & Dressings (Mfrs),$10-20 Million,A+
Chilangos,Leo,Cervantes,Male,Owner,Hispanic,272 Bay Ave,Highlands,NJ,7732,Verified,(732) 708-0505,Chilangosnj.Com,Restaurants,"Less Than $500,000",C+
Chipotle Mexican Grill,Marco,Gonzalez,Male,Manager,Hispanic,190 Passaic Ave # 6,Kearny,NJ,7032,Verified,(201) 998-0515,Chipotle.Com,Restaurants,$1-2.5 Million,B
Cibao Provisions Inc,Maria,Jimenez,Female,Owner,Hispanic,291 Hawthorne Ave,Newark,NJ,7112,Verified,(973) 642-0060,NULL,Meat-Wholesale,$2.5-5 Million,B+
Clement Pappas & Co Inc,Mark A,Mc Neil,Male,CEO,Western Europe,1 Collins Dr # 200,Penns Grove,NJ,8069,Verified,(856) 455-1000,NULL,Canning (Mfrs),$100-500 Million,A
Clemente Bakery,Donato,Clemente,Male,Other,Hispanic,120 Leuning St,South Hackensack,NJ,7606,Verified,(201) 488-2161,NULL,Bakers-Wholesale,$20-50 Million,A
CMC Food Inc,Michael C,Culley,Male,President,Western Europe,282 South Ave # 104,Fanwood,NJ,7023,Verified,(732) 382-5900,Thefarmershen.Net,Food Brokers (Whls),$10-20 Million,B+
Coda Rossa,Kathy I,Nice,Female,Owner,Western Europe,1526 Dutch Mill Rd,Franklinville,NJ,8322,Verified,(732) 267-0434,Codarossa.Com,Wineries (Mfrs),$1-2.5 Million,B+
Coffee Bean Direct,Andrew,Esserman,Male,Owner,Western Europe,843 State Route 12 # B10,Frenchtown,NJ,8825,Verified,(908) 788-7805,Coffeebeandirect.Com,Coffee & Tea-Wholesale,$2.5-5 Million,B
Community Mini Market Inc,Ramon,Rodriguez,Male,Owner,Hispanic,59 Georges Rd,New Brunswick,NJ,8901,Verified,(732) 828-4111,NULL,Convenience Stores,"Less Than $500,000",C+
Conchita Foods Inc,Alejandro,Fernandez,Male,Manager,Hispanic,1 Frassetto Way,Lincoln Park,NJ,7035,Verified,(973) 696-9925,NULL,Food Products (Whls),$10-20 Million,B+
Connell Mining Products LLC,Grover,Connell,Male,CEO,Western Europe,300 Connell Dr # 4000,Berkeley Heights,NJ,7922,Verified,(908) 673-3700,NULL,Real Estate,$10-20 Million,A+
Continental Cookies,Stefan,Gavosto,Male,Owner,Hispanic,185 S Newman St,Hackensack,NJ,7601,Verified,(201) 498-1966,Continentalcookies.Com,Cookies & Crackers-Manufacturers,$2.5-5 Million,B
Continental Food & Beverage,Liz,Berman,Female,President,Not Available,495 River Rd,Clifton,NJ,7014,Verified,(973) 815-1600,NULL,Beverages (Whls),$5-10 Million,B+
Corim Coffee Roaster,Shlomo,Teren,Male,Owner,Western Europe,1112 Industrial Pkwy,Brick,NJ,8724,Verified,(732) 840-1670,Corimindustries.Com,Coffee Mills (Mfrs),$10-20 Million,A+
Corola Food Market,Jose,Peraleta,Male,Owner,Hispanic,627 N Clinton Ave,Trenton,NJ,8638,Verified,(609) 599-0078,NULL,Grocers-Wholesale,$5-10 Million,A
Corrado Farms,Joseph,Corrado,Male,Owner,Hispanic,671 Mount Bethel Rd,Hackettstown,NJ,7840,Verified,(908) 637-4644,NULL,Farms,"$500,000-1 Million",B
Corrado's,Gerald,Corrado,Male,Owner,Hispanic,1578 Main Ave # 3,Clifton,NJ,7011,Verified,(973) 340-8590,Corradosmarket.Com,Fruits & Vegetables & Produce-Retail,$20-50 Million,A
Costco Wholesale,Victor,Curtis,Male,Senior VP,Western Europe,100 Grand Ave,North Brunswick,NJ,8902,Verified,(732) 509-3905,Costco.Com,Wholesale Clubs,$20-50 Million,A
Costco Wholesale,Victor,Curtis,Male,Senior VP,Western Europe,315 State Route 15 N,Wharton,NJ,7885,Verified,(732) 509-3905,Costco.Com,Wholesale Clubs,$20-50 Million,A
Country Fresh Foods,James,Miranda,Male,Owner,Hispanic,3538 US Highway 9,Howell,NJ,7731,Verified,(732) 905-3343,NULL,Meat-Retail,$1-2.5 Million,B+
Cristal Market LLC,Rafael G,Rodriguez Chec,Male,President,Hispanic,419 E Main St,Bound Brook,NJ,8805,Verified,(732) 302-3049,NULL,Grocers-Retail,"Less Than $500,000",C
Cuba Bakery,Jose,Bazan,Male,Owner,Hispanic,665 Mount Prospect Ave,Newark,NJ,7104,Verified,(973) 483-7280,NULL,Bakers-Wholesale,$5-10 Million,B+
Cuba Bakery,Jose,Perez,Male,Owner,Hispanic,1219 Summit Ave # A,Union City,NJ,7087,Verified,(973) 483-7280,NULL,Bakers-Wholesale,$5-10 Million,B+
Cuisine Innovations LLC,Yenny,Franco,Female,Manager,Hispanic,180 Lehigh Ave # 1,Lakewood,NJ,8701,Verified,(732) 730-2099,Cuisineinnovations.Com,Frozen Foods-Wholesale,$10-20 Million,B+
Cumberland Dairy,David,Catalana,Male,Vice President,Mediterranean,899 Landis Ave,Rosenhayn,NJ,8352,Verified,(856) 451-1300,Cumberlanddairy.Com,Dairies (Milk),0,A
Cupcakes By Carousel,Melissa,Giron,Female,Site Manager,Hispanic,31 N Dean St,Englewood,NJ,7631,Verified,(201) 608-5092,Cupcakesbycarousel.Com,Bakers-Wholesale,$10-20 Million,B+
D'Artagnan,Andrew,Wertheim,Male,CEO,Western Europe,600 Green Ln,Union,NJ,7083,Verified,(973) 344-0565,Dartagnan.Com,Poultry-Wholesale,$100-500 Million,A+
Dambrisi Foods,Antony,Giordano,Male,Owner,African American,280 West Ave,Long Branch,NJ,7740,Verified,(732) 229-7707,Dambrisifoods.Com,Meat-Wholesale,$10-20 Million,A
De Piero's Greenhouse WHOL,Glen,DE Piero,Male,Owner,Hispanic,156 Summit Ave,Montvale,NJ,7645,Verified,(201) 930-8678,NULL,Fruits & Vegetables & Produce-Retail,"Less Than $500,000",C+
De Stefano Foods,Chris,DE Stefano,Male,President,Hispanic,561 Jersey Ave,New Brunswick,NJ,8901,Verified,(732) 296-6740,Destefanofoods.Com,Food Products (Whls),$20-50 Million,A
Dean's Natural Food Market,Dean,Nelson,Male,Owner,Western Europe,1119 State Route 35,Ocean,NJ,7712,Verified,(732) 517-1515,Deansnaturalfoodmarket.Com,Grocers-Retail,$2.5-5 Million,A
Deep Foods Inc,Arvind,Amin,Male,Owner,Middle Eastern,1090 Springfield Rd # 1,Union,NJ,7083,Verified,(908) 810-7500,NULL,Food Products (Whls),$100-500 Million,A+
Dimatteo Vineyards,Frank,DE Matteo,Male,Manager,Hispanic,951 8th St,Hammonton,NJ,8037,Verified,(609) 704-1414,Dimatteowinery.Net,Wineries (Mfrs),"Less Than $500,000",B
Dingmans Dairy,Ann Marie,Belasco,Female,Owner,Eastern European,18 Alabama Ave # 20,Paterson,NJ,7503,Verified,(973) 881-8622,Dingmansdairy.Biz,Dairy Products-Wholesale,$20-50 Million,B+
Discos Pepe,Maria,Rosendo,Female,President,Hispanic,415 63rd St,West New York,NJ,7093,Verified,(201) 854-6400,Discospepe.Com,Frozen Foods-Wholesale,$5-10 Million,B+
Dole Fresh Fruit Co,Cindy,Nunes,Female,Executive VP,Hispanic,2001 US Highway 46 # 204,Parsippany,NJ,7054,Verified,(973) 299-6383,Dole.Com,Fruits & Vegetables-Growers & Shippers,$20-50 Million,A+
Dora's Natural,Cyrus,Schwartz,Male,President,Not Available,21 Empire Blvd,South Hackensack,NJ,7606,Verified,(201) 641-8330,Dorasnaturals.Com,Distribution Services,$20-50 Million,B+
Dorno Inc,Helen,Vargas,Female,Manager,Hispanic,513 Summit Ave # A,Union City,NJ,7087,Verified,(201) 325-0990,NULL,Restaurants,"Less Than $500,000",B
Driscoll Foods,Tim,Driscoll,Male,President,Western Europe,174 Delawanna Ave,Clifton,NJ,7014,Verified,(973) 672-9400,Driscollfoods.Com,Food Products-Manufacturers Equip (Whls),$20-50 Million,A
Du Food Farm Corp,Juan L,Arias,Male,Manager,Hispanic,446 North Ave,Dunellen,NJ,8812,Verified,Not Available,NULL,Farms,"Less Than $500,000",C
E B Express Provisions,Roy,Lopes,Male,CEO,Hispanic,181 Vanderpool St,Newark,NJ,7114,Verified,(973) 624-5703,Ebexpressprovisions.Com,Grocers-Wholesale,$20-50 Million,A+
Eagle Nutritionals,Marlon,Durham,Male,Owner,Western Europe,485 Washington Ave,Carlstadt,NJ,7072,Verified,(201) 964-1441,Eaglenutri.Com,Health Food Products-Manufacturers,$5-10 Million,A
East Side Grocery,Espejo,Miguel,Male,Owner,Hispanic,462 10th Ave,Paterson,NJ,7514,Verified,(973) 523-6670,NULL,Grocers-Wholesale,$2.5-5 Million,B
Eastern Fish Co,Eric,Bloom,Male,Owner,Scandinavian,300 Frank W Burr Blvd # 30,Teaneck,NJ,7666,Verified,(201) 801-0800,Easternfish.Com,Fish & Seafood-Brokers (Whls),0,A+
Edible Arrangements,Melson,Perez,Male,Owner,Hispanic,134 Elmora Ave,Elizabeth,NJ,7202,Verified,(908) 558-1010,Ediblearrangements.Com,Fruit Baskets-Gift,"$500,000-1 Million",B+
Edible Arrangements,Paul,Marchal,Male,Owner,Hispanic,100 Mckinley Ave # 8,Manahawkin,NJ,8050,Verified,(908) 558-1010,Ediblearrangements.Com,Fruit Baskets-Gift,"$500,000-1 Million",B+
El Salvador Inc,Jose,Rosales,Male,Manager,Hispanic,497 Mercer St,Jersey City,NJ,7306,Verified,(201) 479-8876,NULL,Restaurants,"Less Than $500,000",C
Elliott Beverage Co,Vince,Di Lorenzo,Male,Owner,Mediterranean,573 Union Ave,Bridgewater,NJ,8807,Verified,(732) 356-0273,Elliottbeverages.Com,Liquors-Retail,$2.5-5 Million,A
Ely's Aquatic Farms,Steve,Elias,Male,Owner,Hispanic,326 Columbia Tpke,Florham Park,NJ,7932,Verified,(973) 377-0570,Elysfish.Com,Tropical Fish-Retail,"Less Than $500,000",C
Emily's Creation Chocolate,Anjelica,Hernandez,Female,Owner,Hispanic,112 Franklin St,Belleville,NJ,7109,Verified,(973) 751-2694,Bellevillechocolatestore.Com,Chocolate & Cocoa (Whls),$1-2.5 Million,U
Esm Ferolie,Antony,Ferolie,Male,CEO,African American,2 Van Riper Rd,Montvale,NJ,7645,Verified,(201) 307-9100,Esmferolie.Com,Marketing Consultants,0,A
Exeltis USA Inc,Everett,Felper,Male,President,Western Europe,180 Park Ave # 101,Florham Park,NJ,7932,Verified,(973) 324-0200,Exeltis.Com,Drug Millers (Mfrs),$50-100 Million,A
Exp Group,Jorge,Acosta,Male,President,Hispanic,2500 83rd St # 2w,North Bergen,NJ,7047,Verified,(201) 662-1254,Expgroup.Us,Fruits & Vegetables & Produce-Retail,"$500,000-1 Million",B+
Express Seafood Inc,Mel,Moronta,Male,Owner,Hispanic,30 Ruta Ct,South Hackensack,NJ,7606,Verified,(201) 440-0541,NULL,Fish & Seafood-Brokers (Whls),$10-20 Million,B+
F & S Produce Co Inc,Sam,Pipitone Jr,Male,President,Mediterranean,913 Bridgeton Ave,Rosenhayn,NJ,8352,Verified,(856) 453-0316,Freshcutproduce.Com,Garlic (Mfrs),$20-50 Million,A
Fairfield Gourmet Food Corp,Ari,Margulies,Male,Owner,Not Available,11 Cliffside Dr,Cedar Grove,NJ,7009,Verified,(973) 571-4171,Davidscookies.Com,Bread/Other Bakery Prod-Ex Cookies,0,A+
Family Food Distributors Inc,John,Rivas,Male,President,Hispanic,969 Newark Tpke,Kearny,NJ,7032,Verified,(201) 997-7689,Familyfooddist.Net,Distribution Services,$1-2.5 Million,B+
Farmland Fresh Dairies LLC,Wayne,Richman,Male,Vice President,Not Available,802 Bergen St,Newark,NJ,7108,Verified,(973) 961-2500,Farmlandmilk.Com,Dairies (Milk),$5-10 Million,B+
FCC Products Inc,Gerard,Woods,Male,President,Western Europe,106 Naylon Ave,Livingston,NJ,7039,Verified,(973) 535-3300,NULL,Health Food Products-Wholesale,$20-50 Million,A
Fedway Associates,Tom,Peters,Male,Vice President,Western Europe,204 E Park Dr # 100,Mount Laurel,NJ,8054,Verified,(973) 624-6444,NULL,Distribution Services,$5-10 Million,A
Fejo Distribution LLC,Fernando,Ramires,Male,President,Hispanic,1580 E Edgar Rd,Linden,NJ,7036,Verified,(908) 290-3550,NULL,Bakers-Wholesale,$5-10 Million,B
Fernando's Bakery,Fernando,Inahuazo,Male,Owner,Hispanic,5 Sherman St,Linden,NJ,7036,Verified,(908) 925-0032,Fernandosbakery.Com,Bakers-Retail,$2.5-5 Million,A
Ferraro Foods Inc,Michael,Giammarino,Male,Owner,Mediterranean,287 S Randolphville Rd,Piscataway,NJ,8854,Verified,(732) 424-3400,Ferrarofoods.Com,Food Products (Whls),$100-500 Million,A+
