Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number Combined,Website,Primary SIC Description,Location Sales Volume Range,Credit Score Alpha
Ag Kitchen,Alex,Garcia,Male,CEO,Hispanic,269 Columbus Ave,New York,NY,10023,Verified,(212) 873-9400,Agkitchen.Com,Restaurants,$2.5-5 Million,B+
Agenzia Italia Travel,Camillo,Asaro,Male,Owner,Mediterranean,6089 Myrtle Ave # A,Ridgewood,NY,11385,Verified,(718) 821-9753,Agenziaitalia.Com,Services NEC,"Less Than $500,000",C+
Ahd Trading Corp,Leon,Huang,Male,President,Far Eastern,505 Meserole St,Brooklyn,NY,11237,Verified,(718) 418-9888,NULL,Food Products (Whls),$5-10 Million,B+
AIA Coffee Distributors,Sue,Orlando,Female,Vice President,Hispanic,6814 5th Ave,Brooklyn,NY,11220,Verified,(718) 680-7938,NULL,Coffee & Tea-Wholesale,$1-2.5 Million,C+
Ainsworth,Alex,Rodriguez,Male,Site Manager,Hispanic,121 Fulton St # A,New York,NY,10038,Verified,(646) 545-6647,Eventective.Com,Restaurants,"$500,000-1 Million",B
Ala Turka,Raymond,Maya,Male,Owner,Hispanic,1417 2nd Ave,New York,NY,10021,Verified,(212) 744-2424,Alaturkany.Com,Restaurants,"$500,000-1 Million",B
Aladdin Bakers,Joseph,Ayoub,Male,President,Middle Eastern,240 25th St,Brooklyn,NY,11232,Verified,(718) 499-1818,Aladdinbakers.Com,Retail Shops,$10-20 Million,A
Alamar Distributors Inc,Victor,Francisco,Male,Owner,Hispanic,4512 48th Ave,Flushing,NY,11377,Verified,(718) 729-1619,NULL,Beer & Ale-Wholesale,"$500,000-1 Million",B
Alba's Pizzeria & Restaurant,Paul,Alba,Male,Owner,Hispanic,13765 Queens Blvd,Jamaica,NY,11435,Verified,(718) 291-1620,Albaspizzeriarestaurant.Com,Beverages (Whls),$2.5-5 Million,B
Albany Primal Your Local Btchr,Kevin,Wickert,Male,Owner,Western Europe,1475 Western Ave,Albany,NY,12203,Verified,(518) 512-4455,Primalyourlocalbutcher.Com,Butchering (Whls),$2.5-5 Million,B
Alcala,Jesus,Martinez,Male,Owner,Hispanic,246 E 44th St # 1,New York,NY,10017,Verified,(212) 370-1866,Alcalanyc.Com,Restaurants,"Less Than $500,000",B
Alfonso's Deli & Grocery Inc,Alfonso,Blaulino,Male,Owner,Hispanic,2236 Grand Concourse,Bronx,NY,10457,Verified,(718) 562-3796,NULL,Grocers-Wholesale,$5-10 Million,B+
Alicia's Bakery,Alicia,Capien,Female,Owner,Hispanic,498 Main St # A,New Rochelle,NY,10801,Verified,(914) 235-4689,NULL,Beverages (Whls),$2.5-5 Million,B
Alitalia Pizzeria Inc,John,Morros,Male,Owner,Hispanic,1138 E Tremont Ave,Bronx,NY,10460,Verified,(718) 597-5250,NULL,Pizza,"Less Than $500,000",C+
Alleva Dairy,Robert,Alleva,Male,CEO,Hispanic,188 Grand St,New York,NY,10013,Verified,(212) 226-7990,NULL,Cheese,"Less Than $500,000",B
Alma Gourmet,Marcello,Tinoco,Male,Manager,Mediterranean,3912 Crescent St,Long Island City,NY,11101,Verified,(718) 433-1616,Almagourmet.Com,Food Products (Whls),$20-50 Million,A+
Almonte's Food Dynasty,Franky,Almonte,Male,Vice President,Hispanic,1525 86th St,Brooklyn,NY,11228,Verified,(718) 256-9500,Fooddynasty86.Com,Grocers-Retail,$5-10 Million,A
Alpine Overhead Doors Inc,Barney,Magro,Male,Vice President,Hispanic,8 Hulse Rd # 1,East Setauket,NY,11733,Verified,(631) 473-9300,Alpinedoors.Com,Doors-Overhead Type,$10-20 Million,A+
Altesi Ristorante,Paolo,Alavian,Male,Owner,Centl & SW Asian,26 E 64th St,New York,NY,10065,Verified,(212) 759-8900,Altesinyc.Com,Restaurants,"$500,000-1 Million",B
Amarone Ristorante,Antonio,Spiriziglorozz,Male,Owner,Hispanic,686 9th Ave # 1,New York,NY,10036,Verified,(212) 245-6060,Amaroneristorantenyc.Com,Restaurants,"Less Than $500,000",B
Amaru,Yallico,Augusto,Male,Owner,Hispanic,8415 Northern Blvd,Jackson Heights,NY,11372,Verified,(718) 205-5577,Amarubar.Com,Restaurants,"Less Than $500,000",C+
Amazing Olive,Candice,Munoz,Female,Owner,Hispanic,213 Main St,Port Jefferson,NY,11777,Verified,(631) 509-4596,NULL,Olive Oil (Mfrs),$2.5-5 Million,C+
America To Go,Andrew,Silbiger,Male,Owner,Western Europe,1001 Avenue Of The Americas #4,New York,NY,10018,Verified,(212) 398-3500,Americatogo.Com,Internet & Catalog Shopping,$10-20 Million,B+
American Roland Food Corp,James,Wagner,Male,CEO,Western Europe,71 W 23rd St # 1500,New York,NY,10010,Verified,(212) 741-8290,Rolandfood.Com,Food Products (Whls),,A
American Whiskey,Jessie,Dure,,CEO,Western Europe,247 W 30th St # 1,New York,NY,10001,Verified,(212) 967-1070,Americanwhiskeynyc.Com,Restaurants,"$500,000-1 Million",B
Amicis Bakery,Peter,Basillo,Male,Owner,Hispanic,758 Arthur Kill Rd,Staten Island,NY,10312,Verified,(718) 967-1155,NULL,Bakers-Wholesale,$10-20 Million,A
Amorina,Albano,Ballerini,Male,Owner,Hispanic,624 Vanderbilt Ave,Brooklyn,NY,11238,Verified,(718) 230-3030,Amorinapizza.Com,Pizza,"Less Than $500,000",B+
Amy's Bread,Amy,Scherber,Female,CEO,Western Europe,75 9th Ave # 9,New York,NY,10011,Verified,(212) 462-4338,Amysbread.Com,Bakers-Retail,$2.5-5 Million,A
Anchor Beverage Ctr,Niti,Mata,Male,Manager,Hispanic,73 Saratoga Ave,South Glens Falls,NY,12803,Verified,(518) 793-7288,NULL,Beverages (Whls),$5-10 Million,B+
Andy's Delicatessen,Brian,Victor,Male,Owner,Hispanic,8217 Eliot Ave,Middle Village,NY,11379,Verified,(718) 424-5260,Andys-Delicatessen.Business.Site,Beverages (Whls),$1-2.5 Million,B
Angel's Grill,Margarita,Garcia,Female,Owner,Hispanic,743 E 187th St,Bronx,NY,10458,Verified,(718) 329-8828,NULL,Restaurants,"Less Than $500,000",B
Angelarr Deli Grocery Inc,Angel,Alberto,Male,Owner,Hispanic,1415 Astoria Blvd,Astoria,NY,11102,Verified,(718) 932-3789,NULL,Grocers-Wholesale,$2.5-5 Million,B
Angels 1 Bakery,Josephine,Camarillo,Female,Owner,Hispanic,4003 5th Ave # 1,Brooklyn,NY,11232,Verified,(718) 431-0001,NULL,Beverages (Whls),$5-10 Million,B+
Anheuser-Busch Inc,Elicia,Yoffee,Female,General Mgr,Uncoded,2885 Belgium Rd,Baldwinsville,NY,13027,Verified,(315) 635-4000,Anheuser-Busch.Com,Brewers (Mfrs),$100-500 Million,A+
Anheuser-Busch Sales,Gemma,Hart,Female,Vice President,Western Europe,550 Food Center Dr,Bronx,NY,10474,Verified,(800) 640-4040,Anheuser-Busch.Com,Beer & Ale-Wholesale,$100-500 Million,A+
Anjojitos Mexicanos,Suvanda,Alvarado,Female,Owner,Hispanic,107 Graham Ave,Brooklyn,NY,11206,Verified,(718) 384-9076,Antojitosmexicanos.Com,Restaurants,"Less Than $500,000",B
Aoc,Romain,Bonnans,Male,Owner,African American,314 Bleecker St,New York,NY,10014,Verified,(212) 675-9463,Aocnyc.Com,Restaurants,$1-2.5 Million,B+
Aquavit,Hakan,Swahn,Male,Owner,Native American,65 E 55th St # C2-R,New York,NY,10022,Verified,(212) 307-7311,Aquavit.Org,Restaurants,"$500,000-1 Million",B+
Arauyo Grocery,Jose,Arauyo,Male,Owner,Hispanic,1480 Westchester Ave,Bronx,NY,10472,Verified,(718) 589-3289,NULL,Grocers-Wholesale,$2.5-5 Million,B+
Arizona Beverage Co LLC,Rick,Vaccaro,Male,Vice President,Mediterranean,60 Crossways Park Dr W # 400,Woodbury,NY,11797,Verified,(516) 812-0300,Drinksodashaq.Info,Beverages (Whls),$5-10 Million,B
Arriba Arriba Mexican Cuisine,David,Sarmiento,Male,General Mgr,Hispanic,762 9th Ave,New York,NY,10019,Verified,(212) 489-0810,Arribamidtown.Com,Restaurants,$1-2.5 Million,A
Arrow Produce,John,Arrow,Male,Owner,Native American,461 Railroad Ave # 1,Westbury,NY,11590,Verified,(516) 338-6868,NULL,Grocers-Retail,"$500,000-1 Million",B
Artichoke Basille's Pizza,Mike,Garcia,Male,Partner,Hispanic,111 Macdougal St # A,New York,NY,10012,Verified,(646) 278-6100,Artichokepizza.Com,Pizza,"Less Than $500,000",B
Arturo's,Lisa,Guinta,Female,Owner,Mediterranean,106 W Houston St,New York,NY,10012,Verified,(212) 677-3820,NULL,Restaurants,$1-2.5 Million,A
Artuso Pastry Foods Corp,Anthony,Artuso Jr,Male,CEO,Mediterranean,49 S Macquesten Pkwy,Mount Vernon,NY,10550,Verified,(914) 663-8806,Artusopastry.Com,Bakers-Wholesale,$20-50 Million,A
Associado Meat Market,Jose,Tineo,Male,Owner,Hispanic,1025 Westchester Ave,Bronx,NY,10459,Verified,(718) 860-0959,NULL,Meat-Retail,"Less Than $500,000",B
Athena Express,Nacer,El Makhloufi,,Owner,Middle Eastern,484 77th St,Brooklyn,NY,11209,Verified,(718) 748-2077,Athenacuisine.Com,Freight Brokers & Agents,"$500,000-1 Million",B
Au Bon Pain,Martine,Donoso,Female,Site Manager,Hispanic,7901 Broadway,Elmhurst,NY,11373,Verified,(718) 779-2033,Aubonpain.Com,Restaurants,$1-2.5 Million,A
Au Bon Pain,Indhira,Perdomo,Female,Manager,Hispanic,19 Bradhurst Ave # L1,Hawthorne,NY,10532,Verified,(914) 347-2782,Aubonpain.Com,Restaurants,"Less Than $500,000",B
Auntie Anne's Pretzels,Crystal,Arriaga,Female,Site Manager,Hispanic,1 Sangertown Sq,New Hartford,NY,13413,Verified,(315) 733-8470,Auntieannes.Com,Pretzels-Retail,$1-2.5 Million,A
Aurora Soho,David,Gonzalez,Male,Manager,Hispanic,510 Broome St,New York,NY,10013,Verified,(212) 334-9020,Aurorasoho.Com,Restaurants,"$500,000-1 Million",B
Avra Estatorio,Jarred,Tosto,Male,General Mgr,Hispanic,141 E 48th St,New York,NY,10017,Verified,(212) 759-8550,Theavragroup.Com,Restaurants,"$500,000-1 Million",B
Awash Ethiopian-Uws,Bogach,Marrero,Female,Owner,Hispanic,947 Amsterdam Ave # 1,New York,NY,10025,Verified,(212) 961-1416,Awashny.Com,Restaurants,"Less Than $500,000",C+
B & H,Tom,Hakim,Male,CEO,Middle Eastern,127 2nd Ave # 2,New York,NY,10003,Verified,(212) 505-8065,Ww1.Bhdairyvegetarianrestaurant.Net,Restaurants,"Less Than $500,000",B
Babalu Restaurant & Bar,John,Colon,Male,Manager,Hispanic,3233 E Tremont Ave,Bronx,NY,10461,Verified,(718) 824-8400,NULL,Restaurants,$1-2.5 Million,B+
Bagel Buffet,Arturo,Garcia,Male,Manager,Hispanic,510 Avenue Of The Americas # 5,New York,NY,10011,Verified,(212) 924-8911,Bagelbuffetunionsquare.Com,Restaurants,"$500,000-1 Million",B
Bagel Factory,Al,Amana,Male,Owner,Hispanic,612 5th Ave,Brooklyn,NY,11215,Verified,(718) 768-0461,NULL,Bagels,"Less Than $500,000",B
Bagel Schmagel,Joann,Vasta,Female,Owner,Hispanic,7510 3rd Ave,Brooklyn,NY,11209,Verified,(718) 833-1774,Bagelschmagelnyc.Com,Bagels,"Less Than $500,000",C+
Bagels & Schmear,Armando,Huitzil,Male,Manager,Hispanic,114 E 28th St,New York,NY,10016,Verified,(212) 725-7873,Msedp.Com,Beverages (Whls),$1-2.5 Million,C+
Bahia Restaurant & Cafe,Luis,Palomo,Male,Owner,Hispanic,690 Grand St # A,Brooklyn,NY,11211,Verified,(718) 218-9592,Bahia-Restaurant.Com,Restaurants,"Less Than $500,000",B
Bainbridge Grocery Corp,Kelvin,Valerio,Male,Manager,African American,3601 Bainbridge Ave # C,Bronx,NY,10467,Verified,(718) 881-4378,NULL,Grocers-Wholesale,$2.5-5 Million,B
Bainbridge Provisions Corp,Jose,Morales,Male,Owner,Hispanic,3530 Bainbridge Ave,Bronx,NY,10467,Verified,Not Available,NULL,Provisions-Wholesale,$5-10 Million,B
Baked,Rachael,Nemeth,Female,Manager,Eastern European,359 Van Brunt St,Brooklyn,NY,11231,Verified,(718) 222-0345,Bakednyc.Com,Restaurants,"Less Than $500,000",B
Bakeri,Amy,Nicolas,Female,Office Manager,Hispanic,150 Wythe Ave,Brooklyn,NY,11249,Verified,(718) 388-8037,NULL,Restaurants,"Less Than $500,000",C
Bakers Dozen Bagels,Stephen,Ricardo,Male,Manager,Hispanic,788 Manhattan Ave # A,Brooklyn,NY,11222,Verified,(718) 349-2222,Bakersdozenbagels.Com,Restaurants,"Less Than $500,000",C+
Baldwin Richardson Foods Co,Jennie,Alessi,Female,Partner,Mediterranean,3269 Blue Heron Dr,Macedon,NY,14502,Verified,(315) 986-2727,Brfoods.Com,Food Products (Whls),$10-20 Million,B+
Ballet Restaurant,Ada,Riveria,Female,Owner,Hispanic,794 Southern Blvd,Bronx,NY,10455,Verified,(718) 378-1600,NULL,Restaurants,"Less Than $500,000",C+
Bar Tano,Peter,Sclafani,Male,CEO,Mediterranean,457 3rd Ave,Brooklyn,NY,11215,Verified,(718) 499-3400,Cmaturbo.Com,Restaurants,"Less Than $500,000",C+
Barbetta Restaurant,Laura,Maiglio,Female,Owner,Mediterranean,321 W 46th St,New York,NY,10036,Verified,(212) 246-9171,Barbettarestaurant.Com,Beverages (Whls),$50-100 Million,A
Bareburger,Tommy,Sardo,Male,Site Manager,Mediterranean,2301 31st St,Long Island City,NY,11105,Verified,(718) 204-7167,Bareburger.Com,Restaurants,$1-2.5 Million,A
Bareburger,Dionisios,Manolatos,Male,Owner,Mediterranean,153 8th Ave,New York,NY,10011,Verified,(212) 414-2273,Bareburger.Com,Restaurants,"$500,000-1 Million",B+
Bareburger,Dionisios,Manolatos,Male,Owner,Mediterranean,173 Orchard St,New York,NY,10002,Verified,(212) 510-8610,Bareburger.Com,Restaurants,"$500,000-1 Million",B+
Bareburger,Shirley,Rodriguez,Female,Manager,Hispanic,514 3rd Ave # A,New York,NY,10016,Verified,(212) 679-2273,Order.Bareburger.Com,Restaurants,"$500,000-1 Million",B+
Barn Joo,David,Yun,Male,Manager,Far Eastern,35 Union Sq W # 1,New York,NY,10003,Verified,(646) 398-9663,Barnjoo.Com,Restaurants,"$500,000-1 Million",B
Barrel,Kenny,Hattori,Male,Manager,Far Eastern,10 Stuyvesant St,New York,NY,10003,Verified,(212) 598-0454,NULL,Restaurants,$1-2.5 Million,B+
Bartlett Dairy,Tommy,Malave,Male,President,Hispanic,9004 161st St # 609,Jamaica,NY,11432,Verified,(718) 658-2299,NULL,Dairies (Milk),$20-50 Million,A
Bati Ethiopian Kitchen,Hibist,Legesse,Female,Owner,African American,747 Fulton St,Brooklyn,NY,11217,Verified,(718) 797-9696,Batikitchen.Com,Restaurants,"Less Than $500,000",C+
Bati Kitchen,Hibist,Legesse,,Owner,African American,747 Fulton St,Brooklyn,NY,11217,Verified,(718) 797-9696,Batikitchen.Com,Kitchen Cabinets & Equipment-Household,"$500,000-1 Million",C+
Battery Gardens,Paul,Nicaj,Male,Partner,Uncoded,1 Battery Park # 1,New York,NY,10004,Verified,(212) 809-5508,Masterpiececaterers.Com,Restaurants,$5-10 Million,B+
Baycliff Co Inc,Helen,Chandler,Female,President,Western Europe,242 E 72nd St,New York,NY,10021,Verified,(212) 772-6078,Sushichef.Com,Food Products (Whls),$20-50 Million,A+
Beans & Vines,Edson,Familia,Male,Owner,Hispanic,4799 Broadway,New York,NY,10034,Verified,(646) 928-0209,Beansandvines.Com,Restaurants,"Less Than $500,000",C+
Bedessee Imports LTD,Nawshad,Bedessee,Male,Owner,Uncoded,601 Wortman Ave,Brooklyn,NY,11208,Verified,(718) 272-1300,NULL,Food Products & Manufacturers,$2.5-5 Million,A
Beech-Nut Nutrition Co,Christoph,Rudolf,Male,CEO,Western Europe,1 Nutritious Pl,Amsterdam,NY,12010,Verified,(518) 595-6600,Beechnut.Com,Canned Specialties (Mfrs),,A
Beekman Beverage Barn,Lori,DE Rosa,Female,Owner,Hispanic,2463 Route 55,Poughquag,NY,12570,Verified,(845) 223-2282,NULL,Beverages (Whls),$2.5-5 Million,B
Beky Bakery & Coffee Shop Corp,Revira,Sanchez,Male,Manager,Hispanic,3778 103rd St,Corona,NY,11368,Verified,(718) 397-0329,NULL,Bakers-Retail,"Less Than $500,000",B
Belaire Diner,Theoni,Dellaportas,Female,Manager,Hispanic,3191 21st St,Long Island City,NY,11106,Verified,(718) 721-3160,Belairemenu.Com,Restaurants,"Less Than $500,000",B+
Belegrina LLC,Niki,Pagones,Female,Owner,Hispanic,818 Route 52,Fishkill,NY,12524,Verified,(845) 896-2005,NULL,Bakers-Wholesale,$2.5-5 Million,C
Bella Pizza,Pete,Chen,Male,President,Far Eastern,3101 Newtown Ave,Astoria,NY,11102,Verified,(718) 777-5533,Slicelife.Com,Pizza,"Less Than $500,000",C+
Bella's Place,Rodriguez,Diaz,Male,Manager,Hispanic,8777 Sutphin Blvd,Jamaica,NY,11435,Verified,(718) 739-5373,NULL,Restaurants,"Less Than $500,000",C
Belli Osteria,Andres,Rodas,Male,Owner,Hispanic,860 Fulton St,Brooklyn,NY,11238,Verified,(347) 799-1230,Bellibrooklyn.Com,Restaurants,"Less Than $500,000",C+
Benjamin Steakhouse,Ben,Prelvukaj,Male,Owner,Uncoded,52 E 41st St,New York,NY,10017,Verified,(212) 297-9177,NULL,Restaurants,$1-2.5 Million,B+
Bennett Wines & Liquors,Daniel,Rodriguez,Male,Owner,Hispanic,720 W 181st St,New York,NY,10033,Verified,(212) 740-0444,Cabriniwines.Com,Liquors-Retail,$1-2.5 Million,B
Berimbau Do Brasil,Mario,Espidola,Male,Owner,Hispanic,43 Carmine St # B,New York,NY,10014,Verified,(212) 401-0021,Berimbaunyc.Com,Restaurants,"$500,000-1 Million",B+
Berkshire Farm Ctr & Svc,Jim,Dennis,Male,Vice President,Western Europe,500 New Karner Rd # 3,Albany,NY,12205,Verified,(518) 456-1969,NULL,Farms,$2.5-5 Million,A
Berkshire Farm Ctr-Svc For Yth,Nitza,Rodriguez,Female,Manager,Hispanic,2524 Saint Paul Blvd,Rochester,NY,14617,Verified,(585) 458-4900,Berkshirefarm.Org,Farms,"$500,000-1 Million",B+
Beverage Discount Ctr,Jim,Mercurio,Male,Owner,Hispanic,870 Kenmore Ave,Buffalo,NY,14216,Verified,(716) 873-7987,NULL,Beer & Ale-Wholesale,$1-2.5 Million,B
Beverage Mart Inc,Emanuel,Tavolilla,Male,Owner,Hispanic,324 White Plains Rd,Eastchester,NY,10709,Verified,(914) 337-0668,NULL,Beer & Ale-Retail,$5-10 Million,A+
Beverage Works,Mark,Ponsiglione,Male,President,Mediterranean,16 Dubon Ct,Farmingdale,NY,11735,Verified,(631) 293-3501,NULL,Beverages (Whls),$50-100 Million,A
Beverages Unlimited Inc,Chaim,Adiel,Male,Owner,African American,1383 Seabury Ave,Bronx,NY,10461,Verified,(718) 823-3492,NULL,Beverages (Whls),$1-2.5 Million,C+
Biagio Cru & Estate Wines,Benjamin A,Restivo,Male,Manager,Mediterranean,3333 New Hyde Park Rd # 406,New Hyde Park,NY,11042,Verified,(516) 299-4344,Biagiocru.Com,Wine Brokers (Whls),$5-10 Million,B+
Big Apple Meat Market,Michael,Castellano,Male,President,Hispanic,577 9th Ave,New York,NY,10036,Verified,(212) 563-2555,NULL,Meat-Retail,$2.5-5 Million,B+
Big Booty Bread Co,David,Rojas,Male,Owner,Hispanic,261 W 23rd St,New York,NY,10011,Verified,(212) 414-3056,Bigbootybreadco.Com,Restaurants,"Less Than $500,000",B
Big Gay Ice Cream Shop,Doug,Quint,Male,Owner,Western Europe,125 E 7th St # 2,New York,NY,10009,Verified,(212) 533-9333,Biggayicecream.Com,Ice Cream Parlors,"Less Than $500,000",B
Big Geyser Inc,Jerry,Reada,Male,President,Uncoded,5765 48th St,Maspeth,NY,11378,Verified,(631) 549-4940,NULL,Beverages-Manufacturers,$20-50 Million,A
Big Nick's Pizza & Burger Jnt,Jimmy,Galas,Male,Manager,Hispanic,70 W 71st Columbus Ave,New York,NY,10023,Verified,(212) 799-4444,Bignickspizzanyc.Com,Pizza,"$500,000-1 Million",B+
Bimbo Bakeries USA,Doris,Jusino,Female,Manager,Hispanic,1303 Randall Ave,Bronx,NY,10474,Verified,(718) 860-0640,Bimbobakeriesusa.Com,Bakers-Retail,"Less Than $500,000",A
Bimbo Bakeries USA,Al,LA Rocca,Male,Manager,Hispanic,669 Sunrise Hwy,Lynbrook,NY,11563,Verified,(516) 887-1024,Bimbobakeriesusa.Com,Bakers-Retail,"Less Than $500,000",B+
Birds Eye Foods Inc,Neil,Harrison,Male,CEO,Western Europe,90 Linden Oaks,Rochester,NY,14625,Verified,(585) 383-1850,Birdseye.Com,Marketing Programs & Services,$20-50 Million,A
BJ'S Wholesale Club,Surendra,Wilson,Female,Manager,African American,790 S Sunrise Hwy,Bellport,NY,11713,Verified,(631) 286-0189,Bjs.Com,Wholesale Clubs,$20-50 Million,A
BJ'S Wholesale Club,John,Carlson,Male,Site Manager,Scandinavian,4000 Nesconset Hwy # 347,East Setauket,NY,11733,Verified,(631) 642-1012,Bjs.Com,Wholesale Clubs,$20-50 Million,A+
BJ'S Wholesale Club,Bob,Fishbeine,Male,General Mgr,Uncoded,13705 20th Ave,Flushing,NY,11356,Verified,(718) 359-9703,Bjs.Com,Wholesale Clubs,$20-50 Million,A
BJ'S Wholesale Club,Gina,Bisceglia,Female,Legal,Mediterranean,3635 Hempstead Tpke,Levittown,NY,11756,Verified,(516) 860-1371,Bjs.Com,Wholesale Clubs,$10-20 Million,A+
BJ'S Wholesale Club,Meyra,Ortega,,Manager,Hispanic,6626 Metropolitan Ave # 23,Middle Village,NY,11379,Verified,(718) 326-9080,Bjs.Com,Wholesale Clubs,$20-50 Million,A+
