Name,Sheet Description,Description,Website,Type,City,State,Country,Facebook,Instagram,Twitter,Produce,Grain,Meat,Dairy,Fibers,Flowers,Value Added Products,Accepting Volunteers,Phone #,Email
City Slicker Farms,City Slicker Farms // CA,"""City Slicker Farms began with a mission to empower West Oakland community members to meet the basic need for fresh, healthy food by creating sustainable, high-yield urban farms and backyard gardens. Since its founding in 2001, City Slicker Farms has been at the forefront of the 21st-century sustainable urban farming and food justice movement, gaining national recognition as a leader in supporting low-income communities of color to grow food in the city. In those sixteen years, we have built over 400 backyard and community gardens, produced 300,000 pounds of nutrient rich food, and trained thousands of community members in organic gardening methods and environmental stewardship.""",cityslickerfarms.org,,Oakland,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,(510) 762-4241,info@cityslickerfarms.org
Community Services Unlimited,Community Services Unlimited // CA,"""Community Services Unlimited Inc. (CSU), is a 501c3 established in 1977 and head quartered in South Central Los Angeles. Since then it has created community programs and organizing campaigns like the early Safe Seniors to the more recent Free Medical Screening Program and the most recent From the Ground Up. CSU has also provided fiscal sponsorship and support for many grass roots organizing efforts ranging in diversity from Police Watch, Community in Support of the Gang Truce, and Food Forestry International.""",csuinc.org,,Los Angeles,CA,United States,CSUINC,,CSUINCLA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,(213) 746-1216,CSU@csuinc.org
Crop Swap LA,Crop Swap LA // CA,"""Volunteer run since October 2018, first under the name West Adams Crop Swap, Crop Swap LA invites gardeners across Los Angeles to bring their extra veggies, fruits, herbs, and valuable homemade items to trade whatever they wish. The abundance was enormous, and we got to thinking about ways to form infrastructures to harvest it ongoing.""",cropswapla.com,,Los Angeles,CA,United States,,@lacropswap,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
Farmer Mai Grain Farm,Farmer Mai Grain Farm // CA,,farmermai.com,,,CA,United States,,@farmermainguyen,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Farms To Grow,Farms To Grow // CA,,farmstogrow.com,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Logan’s Gardens,Logan’s Gardens // CA,,instagram.com/logansgardens,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Organic Harvest Gardens,Organic Harvest Gardens // CA,,,,,CA,United States,,@organicharvestgrdns,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Payómkawichum Nation – Pauma Tribal Farms / Tierra Miguel Farm,Payómkawichum Nation – Pauma Tribal Farms / Tierra Miguel Farm // CA,,https://www.paumatribe.com/pauma-community/partnerships/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Phat Beets Produce,Phat Beets Produce // CA,,https://phatbeetsproduce.org/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Planting Justice,Planting Justice // CA,,https://plantingjustice.org/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Raised Roots,Raised Roots // CA,,https://www.instagram.com/raisedroots/?hl=en,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Rancho de Rodney,Rancho de Rodney // CA,,https://www.facebook.com/pages/category/Farm/Rancho-de-Rodney-503846872978702/,,Fresno,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
RKelley Farms,RKelley Farms // CA,,https://www.rkelleyfarms.com,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sam Cobb Farms,Sam Cobb Farms // CA,,https://www.samcobbfarms.com/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Scott Family Farms,Scott Family Farms // CA,,http://scottfamilyfarms.net.p.hostingprod.com/,,Fresno,CA,United States,,@park.city.harvest.llc,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Seeds of Xanxadu,Seeds of Xanxadu // CA,,https://www.seedsofxanxadu.com/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sierra Seeds,Sierra Seeds // CA,,http://sierraseeds.org/,,,CA,United States,,@rowenwhite,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sola Food Co-op,Sola Food Co-op // CA,,http://www.solafoodcoop.com,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Soul Flower Farm,Soul Flower Farm // CA,,,,,CA,United States,,@soulflowerfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
South Central Farm,South Central Farm // CA,,https://www.southcentralfarm.org/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
South Central Farmers’ Cooperative (CSA),South Central Farmers’ Cooperative (CSA) // CA,,https://www.southcentralfarmers.com,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Summaeeverythang Community Center,Summaeeverythang Community Center // CA,,https://summaeverythang.org/,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
We Grow Urban Farm,We Grow Urban Farm // CA,,,,,CA,United States,,@wegrowurbanfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Yisrael Family Urban Farm,Yisrael Family Urban Farm // CA,,,,,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Freedom School Demonstration Farm,Freedom School Demonstration Farm,,https://www.fresnofreedomschool.com/home,,Fresno,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Three Sisters Garden,Three Sisters Garden,,https://3sistersgardens.com/,,Sacremento,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Adventures to Dreams,,,http://www.adventurestodreams.org/#section-76,,,CA,United States,,@adventurestodreams,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Feed Our Soul,,,https://www.feedoursoul.com/,,,CA,United States,,@feedoursoul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Five Finger Farms,,,https://www.fivefingerfarms.com/about,,,CA,United States,fivefingerfarms,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
IGH Gardens,,,,,,CA,United States,,@ighgardens,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
LA Green Grounds,,,https://www.lagreengrounds.org/about,,,CA,United States,,@lagreengrounds,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Pinehouse Edible Gardens,,,http://pinehouseediblegardens.com/about,,,CA,United States,,@pinehouseediblegardens,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Park City Harvest,,,,,Bridgeport,CT,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Root Life,,,https://www.rootlife.org/about-us,,,CT,United States,,@root.life,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Afroculinaria,Afroculinaria // DC,,http://afroculinaria.com/about/,,,DC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Community Farming Alliance,Community Farming Alliance // DC,,http://communityfarmingalliance.tumblr.com/,,,DC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Good Sense Farm,Good Sense Farm // DC,,https://www.instagram.com/goodsensefarm/?hl=en,,,DC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Soilful City (WashingtonDC),Soilful City (WashingtonDC) // DC,,https://soilfulcity.com/,,Washington DC,DC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Three Part Harmony,Three Part Harmony // DC,,http://threepartharmonyfarm.org/,,,DC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Rural Coalition,,,https://www.ruralco.org/about-ruralco,,,DC,United States,,@ruralco,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Harvest Blessing Garden,Harvest Blessing Garden // FL,,https://www.facebook.com/howdee55/,,Jacksonville,FL,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Cool Runnings Organic Farms,,,https://www.facebook.com/gojarrett101/,,,FL,United States,,@coolrunningsorganicfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Henrietta Bridge Farm Project,,,https://www.urbangrowerscedc.org/about-us.html,,,FL,United States,,@urbangrowerscedc,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Smarter By Nature,,,https://www.smarterbynature.org/about-us,,,FL,United States,,@smarterbynature,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Atlanta Harvest,Atlanta Harvest // GA,,https://atlantaharvest.com/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Comfort Farms,Comfort Farms // GA,,,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Federation of Southern Cooperatives,Federation of Southern Cooperatives // GA,,https://www.federation.coop/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Gangstas To Growers / The Come Up Project,Gangstas To Growers / The Come Up Project // GA,,https://www.facebook.com/gangstastogrowers/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Gilliams Community Garden,Gilliams Community Garden // GA,,https://gilliamscommunitygarden.org/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Grow Where You Are,Grow Where You Are // GA,,https://www.growwhereyouare.farm/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Habesha,Habesha // GA,,https://www.instagram.com/habeshainc/?hl=en,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Haylene the Garden Queen,Haylene the Garden Queen // GA,,https://www.theurbangardeninitiative.org/?gclid=CjwKCAjwufBRBpEiwAVZjzTqJYS-euxpkTlKiKJGqzXgRDCCZeDyTedYBIyQeuLfW_BoCtwsQAvD_BwE,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
High Hog Farm,High Hog Farm // GA,,www.highhog.farm ,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Mayflor Farms,Mayflor Farms // GA,,https://mayflorfarms.com/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Muhammad Farms,Muhammad Farms // GA,,https://www.facebook.com/pages/Muhammad-Farms/117442208315575,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Nature’s Candy Farms,Nature’s Candy Farms // GA,,https://www.facebook.com/naturescandyfarms/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Outdoor Fresh Farm,Outdoor Fresh Farm // GA,,https://www.facebook.com/pages/category/Agriculture/Outdoor-Fresh-Farm-/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Patchwork City Farms,Patchwork City Farms // GA,,https://www.patchworkcityfarms.com/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Phoenix Gardens,Phoenix Gardens // GA,,https://www.phoenixgardens.net/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
SAAFON,SAAFON // GA,,https://saafon.org/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Semente Farm,Semente Farm // GA,,https://www.sementefarm.com/,,Lithonia,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Shamba ATL,Shamba ATL // GA,,https://www.instagram.com/shamba.atl/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
SWAG,SWAG // GA,,http://swagcoop.weebly.com/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Swanson Family Farm,Swanson Family Farm // GA,,https://www.facebook.com/swansonfamilyfarm/,,Hampton,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Metro Atlanta Urban Farm,The Metro Atlanta Urban Farm // GA,,http://themetroatlantaurbanfarm.com/,,Royston,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Truly Living Well Center for Natural Urban Ag,Truly Living Well Center for Natural Urban Ag // GA,,https://www.trulylivingwell.com/about-us,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Urban Sprout Farm,Urban Sprout Farm // GA,,https://www.urbansproutfarms.com/,,,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
West Georgia Growers Cooperative,West Georgia Growers Cooperative // GA,,https://www.facebook.com/westgeorgiafarmerscooperative/,,Hamilton,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Gilliard Farms,Gilliard Farms,,https://www.gilliard-farms.com/,,Brunswick,GA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Bread and Butter Farms,,,http://www.breadandbutterfarms.com/farmers.html,,,GA,United States,,@bread.and.butter.farm.to.table,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
EM Farms,,,https://www.emfarmsllc.com/about-us-1,,,GA,United States,,@em_farms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Flora Gothica Farms,,,http://floragothica.farm/#fgfthefarm,,,GA,United States,,@floragothicafarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Georgia Roots Urban Farm,,,https://www.garoots.farm/about.html,,,GA,United States,,@georgiaroots_urbanfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Gilliams Community Garden,,,https://gilliamscommunitygarden.org/,,,GA,United States,,@gilliamscommunitygarden,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
God's Garden Girl!,,,http://godsgardengirl.com/,,,GA,United States,tinisha.o.williams,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Gratitude Botanical Farm,,,https://www.gratitudeatl.com/purpose,,,GA,United States,,@gratitudebotanicalfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Holmes Gohard,,,,,,GA,United States,,@holmesgohard,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Honey Bee Goode Apiaries,,,http://www.honeybeegoode.net/our-story.html,,,GA,United States,,@honeybeegoodeapiaries,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Local Lands,,,https://www.locallands.net/visit_us,,,GA,United States,,@geechiefarmers,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Love Blossom Farm,,,https://www.facebook.com/loveblossomfarm/,,,GA,United States,,@loveblossomfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Mena's Farm,,,,,,GA,United States,,@menas_farm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Miller City Farm,,,http://millercityfarm.com/,,,GA,United States,,@millercityfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
On Da Farm,,,http://www.ondafarm.com/home/,,,GA,United States,,@raskofipresentspermakulture,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Young Female Farmers,,,http://youngfemalefarmers.com/index.html,,,GA,United States,,@youngfemalefarmers,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Aina Company,,,https://ainacompany.com/about/,,,HI,United States,,@aina_company,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Slow Island Co,,,https://www.gidaskitchen.com/,,,HI,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Healthy Food Hub,Healthy Food Hub // IL,,http://www.healthyfoodhub.org/,,,IL,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Trinity United Church of Christ Farmers Market,Trinity United Church of Christ Farmers Market // IL,,https://www.facebook.com/events/trinity-united-church-of-christ/trinity-ucc-farmers-market/1442305246047799/,,,IL,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Urban Growers Collective,Urban Growers Collective // IL,,https://urbangrowerscollective.org/,,,IL,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Your Bountiful Harvest Family Farm,Your Bountiful Harvest Family Farm // IL,,http://YourBountifulHarvest.com/,,,IL,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Community Food Box Project,Community Food Box Project // IN,,https://www.communityfoodbox.org/,,,IN,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Growing Good in the Hood,Growing Good in the Hood // IN,,https://kheprw.org/growingood/,,,IN,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Indiana Black Farmers Coop,Indiana Black Farmers Coop // IN,,http://indianablackfarmers.com/,,,IN,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
P.L.A.N.T.S On Plates,P.L.A.N.T.S On Plates // IN,,https://indyplantsonplates.weebly.com/,,,IN,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
KHEPRW Institute,,,https://kheprw.org/food/,,,IN,United States,@kheprw,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Hillbilly African,,,https://thehillbillyafrican.com/,,,KS,United States,,@thehillbillyafrican,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Barbour’s Farm LLC,Barbour’s Farm LLC // KY,,http://www.barboursfarm.com/,,,KY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Russellville Urban Gardening Project,The Russellville Urban Gardening Project // KY,,https://www.facebook.com/pages/category/Nonprofit-Organization/Russellville-Urban-Gardening-Project-Inc-345475618916404/,,,KY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Ballew Estates,,,https://www.ballew-estates.org/our-story,,,KY,United States,,@ballewestatesllc,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Black Soil Life,,,https://www.blacksoil.life/#about,,,KY,United States,blacksoilky,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Kentucky Greens Co.,,,https://kentuckygreens.com/,,,KY,United States,,@kentuckygreens,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Slak Market Farm,,,https://www.realmilklexington.com/,,,KY,United States,,@slakmarketfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Armstrong Farms,Armstrong Farms // LA,,https://www.facebook.com/ArmstrongFarms/,,,LA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Grow Dat Youth Farm,,,https://growdatyouthfarm.org/,,,LA,United States,,@growdatyouthfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Flats Mentor Farm,Flats Mentor Farm // MA,,https://www.worldfarmers.org/programs/,,,MA,United States,,@flats_mentor_farm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Dudley Grows,Dudley Grows,,https://www.facebook.com/dudleyfarmersmarket/,,Boston ,MA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Common Good Cooperatives,,,https://www.commongoodcooperatives.com/,,,MA,United States,,@thecommongoodproject,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Food Project,,,https://thefoodproject.org/about-us/,,,MA,United States,,@the_food_project,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Urban Farming Institute of Boston,,,http://www.urbanfarminginstitute.org/about-us,,,MA,United States,urbanfarminginstituteboston,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Bliss Meadow & Backyard Basecamp,Bliss Meadow & Backyard Basecamp // MD,,https://backyardbasecamp.org/,,,MD,United States,,@Backyard_Basecamp,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Tha Flower Factory,Tha Flower Factory // MD,,https://www.facebook.com/ThaFlowerFactory/,,Baltimore,MD,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Bladensburg Farm,The Bladensburg Farm // MD,,https://www.ecoffshoots.org/programs/bladensburg-farm/,,Riverdale,MD,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Greener Garden,The Greener Garden // MD,,https://www.facebook.com/thegreenergarden/,,,MD,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Cherry Hill Urban Garden,,,http://www.farmalliancebaltimore.org/farms/cherry-hill-urban-garden/,,,MD,United States,CherryHillUrbanGarden,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
DC Urban Greens Inc.,,,http://www.dcurbangreens.org/,,,MD,United States,,@dcurbangreens,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Deep Roots Farm,,,https://deeprootsfarm.us/,,,MD,United States,,@farmergale,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
District Growers,,,https://www.districtgrowers.com/copy-of-flowers-1,,,MD,United States,,@districtgrowers,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Dodo Farms,,,https://www.dodofarmsmd.com/,,,MD,United States,,@dodofarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Eco City Farms,,,http://www.ecoffshoots.org/about-us/,,,MD,United States,,@ecocityfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
H St. Farms,,,http://www.cultivatethecity.com/h-st-farms-ws-jenks-son/,,,MD,United States,,@hstfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HYPE Yourh and Community Garden,,,,,,MD,United States,,@hypegardenproject,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Strength to Love II,,,https://s2l2.intersectionofchange.org/,,,MD,United States,,@strengthtolovefarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
New Roots Community Farm,,,https://newrootscooperativefarm.com/biography/,,,ME,United States,,@newrootscoop,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
