Name ,Description,City,State ,Phone,Email,Website,Facebook,Twitter,Instagram ,Linkedin
Lomar Farms,"Harvests honey from their apiary for bee-based body products; raises chickens for fresh eggs; grows a selection of fruits, vegetables and herbs that we plan on supplying co-ops and local restaurants",Palisades,NY,,,https://www.lomarfarms.com/,https://www.facebook.com/lomarfarms,https://twitter.com/lomarfarms,https://www.instagram.com/lomarfarms/,
Nahe Hemp Farm ,"Grows and sells hemp seeds, flower, oil, and CD flower",Upstate NY,NY,646-894-9076,nahenycllc@gmail.com,https://www.naheus.com/,https://www.facebook.com/naheNYC/,,,https://www.linkedin.com/in/nahe-grow-house-312006171/
Oko Farms ,Utilizes a hybrid of aquaculture and aquaponics to raise freshwater fish along with a variety of vegetables and fruits for educational classes and design programs,Brooklyn,NY,,,https://www.okofarms.com/,https://www.facebook.com/OkoFarms/,https://twitter.com/OkoFarms,https://www.instagram.com/okofarms/,
Papa Rozier Farms,Offers seed to oil moringa oil that is grown in Haiti then processed in BK,Brooklyn,NY,,,https://paparozierfarms.com/,https://www.facebook.com/paparozier,,https://www.instagram.com/paparozier/,
Phoenix Community Garden,"Grows nearly 2,000 pounds of beans, corn, collards, bitter melon, tomatoes, zucchini, herbs and callaloo to feed the neighborhood; provides fresh food, green space, and community ",Brooklyn,NY,,,https://www.phoenixcommunitygarden.org/,,,,
Rise and Root Farm,"Grows vegetables, Herbs, and Flowers ",Chester ,NY,,,http://www.riseandrootfarm.com/,https://www.facebook.com/RiseandRootFarm/,,https://www.instagram.com/riseandrootfarm/,
JustCompost,Provides compost,New York,NY,,,http://justcompost.com/,,,https://www.instagram.com/justcompostinc/,
Rocky Acres Community Farm ,"Focuses on education and the sustainable production of local meat, eggs and vegetables",Tompkins County,NY,,https://www.facebook.com/rockyacrescommunityfarm/,,,,,
Schüyler Road Farms ,Raises goats and chickens to sell goat milk and fresh eggs; Operates primarily as an animal shelter for rescued animals and an art space for the community,Nyack,NY,,schuylerrdfarm@gmail.com,https://www.schuylerrdfarm.com/,https://www.facebook.com/schuylerroadfarm,,https://www.instagram.com/schuylerfarm/,
Soulfire Farm ,"Food justice community farm offering vegetables, peas and crops with a focus on African heritage crops",Albany ,NY,518-880-9372,,http://www.soulfirefarm.org/,https://www.facebook.com/soulfirefarm/,http://twitter.com/soulfirefarm,https://www.instagram.com/soulfirefarm/,
Tehuti Ma'at Community Farm & Garden,Provides educational and empowerment workshops and classes,Brooklyn,NY,(646) 883-MAAT,grow@tehutimaat.org,https://tehutimaat.org/,,,https://www.instagram.com/tehutimaat/,
Triple J Farm,"Raises chickens to provide fresh, free range eggs",Windson,NY,,,,,,https://www.instagram.com/triplejfarm_ny/,
Weatherfield Farm,Organic farm that grows and sells vegetables and fruits; provides high tech science and agricultural research; provides meteorological forecasting services ,Finger Lakes,NY,,,,https://www.facebook.com/Weatherfield-Farm-Finger-Lakes-NY-768275653348078/,,,
Wildseed Community Farm ,Organic farm and healing sanctuary,Millerton,NY,,love@wildseedcommunity.org,http://www.wildseedcommunity.org/,,,,
Black urban gardeners and farmers of Pittsburg Co-op ,Unites Black urban agriculturalist in the Pittsburgh area,Pittsburg,PA,,blackfarmerscoop@gmail.com,,https://www.facebook.com/blackurbangardeners/,,,
"Earthly, Holistic & Organic Garden + *Thirdday Soaps Garden Wellness",Sells herbal drinking teas sourced from the garden; Harvests 66% of products to formulate skin care and wellness products,Duquesne,PA,412.290.0611,thirddaysoapsgarden@gmail.com,http://etsy.com/shop/thirddaysoapsgarden,,,http://instagram.com/thirddaysoapsgardens,
Farmer Jawn CSA ,"Curates weekly and bi-weekly shares of local fruits, vegetables, herbs, honey, tea and body products ",Philadelphia,PA,,,,,,https://www.instagram.com/farmerjawn_csa/,
FarmerGirlEb,Grows and sells a variety of produce grown in plots throughout Pittsburgh,Pittsburg,PA,412-377-1773 ,,http://farmergirleb.com/,,,http://instagram.com/farmergirleb,
Homestead Ransom,"Raises goats and chickens, and sells organic pasture-raised chicken; sells goat milk soap; Grows herbs to sell homemade, organic teas and tinctures ",Philadelphia,PA,,,https://www.etsy.com/shop/homesteadransom,,,https://www.instagram.com/homesteadransom/,
Life Do Grow Farm from Philly Urban Creators ,"An urban farms that educates and cultivates a variety of seasonal and culturally relevant crops including collards, kale, tomatoes, onions, sweet potatoes, peppers, okra, garlic, melons, squash, corn, pumpkins, berries, and a wide variety of culinary and medicinal herbs",Philadelphia,PA,,,http://www.phillyurbancreators.org/life-do-grow-farm,,,https://www.instagram.com/urbancreators/,
LifeLeaf Organic Farms ,Grows organic botanicals to sell for Viva Leaf Tea ,Philadelphia,PA,,christa@vivaleaftea.com,http://www.vivaleaftea.com/,https://www.facebook.com/VivaLeafTea/,,https://www.instagram.com/vivaleaftea/,
Mill Creek Urban Farm ,"An educational farm selling a variety of vegetables, fruits and herbs",West Philadelphia,PA,,,https://www.millcreekurbanfarm.org/,,,,
MycoSymbitics,"Searches the wild lands in the North East, and Mid-Atlantic U.S. for edible and medicinal mushrooms; sells them as culture collections",New Cumberland,PA,717-557-3774,,https://www.mycoshop.net/,https://www.facebook.com/MycoSymbiotics,,https://www.instagram.com/mycosymbiote/,
Pearberry Farm ,"Raises and harvest chicken, quail, and duck eggs; hand-makes soaps, candles, sundries and seasonal confections",Phoenixville,PA,610-680-8476,pearberryfarm@yahoo.com,,https://www.facebook.com/Pearberry-Farm-103578821382519/,,,
Ray-Gien Farm,Equine or horse boarding,Kutztown,PA,,,,https://www.facebook.com/ray.chavous,,,
The Sankofa Community Farm and Food Resource Center at Bartram’s Garden,,Philadelphia,PA,215-729-5281,,https://bartramsgarden.org/explore-bartrams/the-farm/,https://www.facebook.com/BartramsGarden,https://twitter.com/bartramsgarden,,https://www.instagram.com/BartramsGarden/
True Love Seeds ,Partners with local farms to curate and sell organic seeds,Philadelphia,PA,,trueloveseeds@gmail.com,https://trueloveseeds.com/,,,,
Tustin Street Community Garden,Provides local residents an opportunity to improve their health (while saving money) by growing a variety of their own vegetables,Pittsburg,PA,,,https://www.growpittsburgh.org/directory/garden/tustin-street-community-garden,,,,
Abundance Farm,Grows and sells produce in a community bag,Providence,RI,,abundancefarm2020@gmail.com,,https://www.facebook.com/abundancefarmRI/,,,
Quaintly Farm,"grow local seasonal crops like veggies, herbs and some fruits",Providence,RI,,,https://www.quaintlyfarm.com/,https://www.facebook.com/quaintlyfarm,,https://www.instagram.com/quaintlyfarmri/,
Park City Harvest ,Grows and sells produce in local markets ,Bridgeport,CT,,,,,,https://www.instagram.com/park.city.harvest.llc/,
Root Life ,Organic produce and body products ,New Haven ,CT ,,,https://www.rootlife.org/,,,https://www.instagram.com/root.life/,
Abundant Life Market ,"Grows and sells vegetables and fruit; Raises and sells poultry, cattle and beef and turkey",Davidsonville,MD,240-604-0164,abundantlifemarketsm@gmail.com,http://abundantlifemarket.com/,https://www.facebook.com/AbundantLifeMarket/,,,
C&E Farms,"Raises and sells varieties of ethnic produce, herbs, and cut flowers; sells timber, all free of harmful chemicals",Glenn Dale,MD,301-352-2958,,,https://www.facebook.com/CandEFarms/,,,
Cherry Hill Urban Garden,Grows and sells produce on site ,Cherry Hill,MD,205-276-6824,cherryhillurbangarden@gmail.com,http://www.farmalliancebaltimore.org/farms/cherry-hill-urban-garden/,https://www.facebook.com/CherryHillUrbanGarden/,,,
City Weeds ,Revolutionizes the food system in creative grow and produce giveaways; Sells healthy products and drinks from produce through BeMore Green,Baltimore ,MD,443-620-0014,cityweedsbaltimore@gmail.com,http://www.farmalliancebaltimore.org/farms/cherry-hill-urban-garden/,https://www.facebook.com/CherryHillUrbanGarden/,,,
Cure More Farms,Grows and sells vegetables; Raises chickens to sell eggs; Harvests honey,Upper Malboro,MD,,,,,,https://www.instagram.com/curemorefarms/,
Deep Roots Farm,"Grows and sells fresh, organic vegetables, herbs, fruit and flowers; facilitates a 10-week CSA",Brandywine,MD,240-244-9649,info@deeprootsfarm.us,,https://deeprootsfarm.us/,,https://www.instagram.com/farmergale/,
Dodo Farms,"A certified naturally grown farm, that makes fresh, natural and local food easy and convenient for you to access",Brookeville,MD,,dodofarms@gmail.com,http://www.dodofarmsmd.com/,https://www.facebook.com/dodofarms/,,https://www.instagram.com/dodofarms/,
Flower Factory ,Takes unused urban space and turns it into a flower farm,Baltimore ,MD,,,,,,https://www.instagram.com/thaflowerfactory,
Flower of the Forest Farm,Grows and sells fruits and vegetables,Lexington,MD,301-904-6794,flowerforestfarm80@gmail.com,,https://www.facebook.com/FlowerForestFarm/,,,
Four Mother’s Farm,"Raises milk and meat goats; Free Rabbits; Grows and sells a variety of vegetables, micro-greens, hibiscus, amaranth, and scotch-bonnet peppers, micro-greens ",Princess Anne,MD,,tcsams@gmail.com,http://www.fourmothersfarm.com/,,,,
Jenny’s Market," Sells vegetables, seasonal fruits and flowers from garden and other local farmers at their local farm stand",Friendship,MD,443-745-0534,,https://www.jennysmarket.net/,https://www.facebook.com/Jennys-Market-95925318578/,,https://www.instagram.com/jennysmarketmd/,
New Brooklyn Farms,"Collaborates with local kitchens and food companies that use their produce for foods, medicinal items and drinks",Mount Rainer,MD,,grow@newbrooklynfarms.com,https://www.newbrooklynfarms.com/,,https://twitter.com/newbrooklynfarm,https://www.instagram.com/newbrooklynfarms/,
Nu Healing Arts Garden,Grows and sells medicinal and herbal plants,Rockville,MD,,,http://www.nuhealingarts.com/,,,https://www.instagram.com/nuhealingartsgarden/,
PhilMore Farms,Raises and sells chickens for meat and eggs; Grows and sells for and a variety of greens,Upper Marlboro,MD,,,,https://www.facebook.com/dman.philman,,,
Purple Mountain Organics," Grows and sells grains freshly milled flours, rice, beans, and oats rice and vegetables, mushrooms, sweet potatoes using organic methods, heirloom sugar cane and Japanese tools",Takoma Park,MD,877-538-9901,info@purpletools.net,http://www.purpletools.net/,https://www.facebook.com/Purple-Mountain-Organics-170000353047930/,,https://www.instagram.com/doctorfarmerbrother/,
Royal Reset ,"Grows and sells herbs, microgreens and some seasonal vegetables and fruit",Waldorf,MD,301-857-3663,letsgrow@royalreset.com,https://www.royalreset.com/,https://www.facebook.com/RoyalReset/,,,
"RT Williams Seafood, Corp. "," Operates a massive network of Maryland distributor, caterer, harvester, processor, marketer, and retailer of Chesapeake Bay harvested seafood, produce, poultry and meats; Delivers and sells via its pop up market, roadside stands and mobile trucks ",Chesapeake Bay,MD,202-506-120,ronjr@rtwilliamsseafood.com,http://www.rtwilliamsseafood.com/,https://www.facebook.com/RTWilliamsSeafood/,,,
Strength to Love Farm ,,Baltimore City,MD,410-728-0009,info@s2l2.com,https://s2l2.intersectionofchange.org/,https://www.facebook.com/StrengthToLove2/,,https://www.instagram.com/strengthtolovefarm/,
Tallawah Farms,Group of diverse growers native from the Caribbean that grow a wide variety of vegetables and fruits,Princess Anne,MD,443.978.0898,,,https://tallawahfarms.com/,,http://instagram.com/tallawahfarms,
Taylor Valley Farms,Grows fresh flowers for sell and to use in natural body products; Raises chickens to sell fresh eggs,Northern Maryland ,MD,,,,https://www.facebook.com/taylorvalleyfarms/,,https://www.instagram.com/taylor.valley.farms/,
The Greener Garden,a certified naturally grown farm that produces and sells vegetables,Baltimore ,MD,,thegreenergarden@comcast.net,https://websites.godaddy.com/en-US/editor/e64885dd-7e22-4133-a728-84cb4e81890e/b8532137-95e4-433b-a01d-dd4c9ad48146/edit/abdc15fc-8eba-4609-9566-f048429bad5e/mutator/card/thegreenergarden@comcast.net,http://facebook.com/thegreenergarden,,,
The John Newman Honey Bee Co. ,Harvests and sells honey,Baltimore ,MD,,,,,,https://www.instagram.com/john_newman_bee_company_/,
Whitelock Community Farm ,Grows over 30 different varieties of vegetables and fruit using only sustainable growing practices; holds a farm stand on the corner of Whitelock and Brookfield; powers a mobile market by bike throughout Reservoir Hill Neighborhood,Baltimore ,MD,,farmer@whitelockfarm.org,http://beetstreetgardens.org/,http://www.facebook.com/whitelockcommunityfarm,,https://www.instagram.com/whitelockfarm/,
Beet Street Gardens,"Cultivates gardens and gardeners for peaceful outdoor space, and healthy, affordable food",Washington DC ,DC,,info@beetstreetgardens.org,,,,http://beetstreetgardens.org/,
Christina Flores,Grower using regenerative practices. Design with sustainability,Washington DC ,DC,,,http://www.flowersxflores.com/,,,,
DC UrbanGreens,,Washington DC ,DC,,,http://www.dcurbangreens.org/,,https://twitter.com/DCUrbanGreens,https://www.instagram.com/dcurbangreens/,
District Growers,Grows cannabis to produce artisanal cannabis products,Washington DC ,DC,,,https://www.districtgrowers.com/,,https://twitter.com/districtgrowers,https://www.instagram.com/districtgrowers/,
GPOD Farms ,Grows and sells a variety of micro greens,Washington DC ,DC,301-978-1182,info@gpodfarms.com,http://www.gpodfarms.com/,https://www.facebook.com/GPODFARMS/,,,https://www.linkedin.com/company/gpod-farms/
H St. Farms ,Grows and sells from community farm; offers gardening classes,Washington DC ,DC,,,,,,https://www.instagram.com/hstfarms/,
Soilful City,"A space dedicated to connecting humans and nature through information, ideas, and people in urban environments",Washington DC ,DC,202-316-1546,,https://soilfulcity.com/,,,,
The Arc Farm,Provides organically grown affordable produce,Washington DC ,DC,,violet@dcgreens.org,,https://www.facebook.com/thearcfarm,,,
The Green Anarchist,"Grows and sells micro greens, radishes and herbs",Washington DC ,DC,,,,,,https://www.instagram.com/thegreenanarchist/,
Three Part Harmony Farm,"Grow vegetables, herbs and flowers without toxic chemicals",Washington DC ,DC,,,http://www.deeprootsfarm.us/,,,,
Yuniversoul Supreme’s Urban Farm,"Grows and sells organic fruits, vegetables and herbs while also providing natural herbal compositions, tinctures and consultations as Da Nature Guy",Washington DC ,DC,,,,,,https://www.instagram.com/thehatshop369/,
