name,street,city,state,zip,x,y,website,facebook,twitter,email,phone,fmid,operation id,data_source,current_ww_vendor,compared
Historic Downtown Jersey City Farmers Market,Grove PATH Plaza,Jersey City,New Jersey,05/11/2020 to 12/21/2020,-74.042428,40.719659,https://jcdowntown.org/events/farmers-market,,,,,1021208.0,,operators,NO,true
Riverview Farmers Market,320 Ogden Avenue,Jersey City,New Jersey,07307,-74.042798,40.744736,http://www.riverviewfarmersmarket.org/,,,,,1019927.0,,operators,NO,true
Down to Earth Park Slope Farmers Market,289 4th Street,Brooklyn,New York,11215,-73.983925,40.672277,http://www.downtoearthmarkets.com,,,,,1009895.0,,operators,NO,true
Fulton Stall Market - Indoor Farmers Market,91 South St.,New York ,New York,10038,-74.003474,40.706222,,,,,,1019949.0,,operators,NO,true
Capital City Farmers Market,126 West Loockerman Street (Loockerman Way Plaza),Dover,Delaware,19904,-75.5262294,39.1576541,http://www.downtowndoverpartnership.com/,,,,,1011930.0,,operators,NO,true
Harvest Home Clinton Hill Market,Lafayette btwn Waverly & Washington,Brooklyn,New York,06/04/2019 to 11/19/2019,-73.96631,40.688145,,,,,,1019374.0,,operators,NO,true
Harvest Home Kings County Hospital Market,Clarkson Avenue btwn E. 37th & E. 39th Street,New York,New York,06/05/2019 to 11/20/2019,-73.94252,40.655889,,,,,,1019376.0,,operators,NO,true
Harvest Home Brower Park Market,Brooklyn Avenue & Prospect Place,New York,New York,06/06/2019 to 11/14/2019,-73.94453,40.674043,,,,,,1019373.0,,operators,NO,true
Bel Air Farmers' Market,2 South Bond Street,Bel Air,Maryland,21014,-76.351011,39.535284,http://www.BelAirFarmersMarket.com,,,,,1010607.0,,operators,NO,true
Isabahlia farmers Market,410 Livoinia Ave,"Brooklyn, NY",New York,11212,-73.901875,40.663651,,,,,,1019340.0,,operators,NO,true
Pitkin Verde Farmers Market,2094 Pitkin Avenue,Brooklyn,New York,11207,-73.895438,40.671863,http://www.cypresshills.org,,,,,1016803.0,,operators,NO,true
Down to Earth Morningside Park Farmers Market,110th Street and Manhattan Avenue,Manhattan,New York,10026,-73.959648,40.80137,http://www.downtoearthmarkets.com,,,,,1010972.0,,operators,NO,true
Harvest Home Metropolitan Hospital Market,97-99th Street and 2nd Ave.,Manhattan,New York,06/07/2019 to 11/15/2019,-73.94622,40.785539,,,,,,1002339.0,,operators,NO,true
Harvest Home East Harlem Market,E. 104th Street & 3rd Avenue,New York,New York,06/06/2019 to 11/14/2019,-73.945625,40.790266,,,,,,1019380.0,,operators,NO,true
Harvest Home Lenox Avenue Market,Lenox Avenue btwn W. 117th & W. 118th Street,New York,New York,06/08/2019 to 11/16/2019,-73.94885699999999,40.803029,,,,,,1019382.0,,operators,NO,true
Harvest Home 125th Street Market,W. 125th Street & Adam Clayton Powell Blvd,New York,New York,06/04/2019 to 11/19/2019,-73.947702,40.808707,,,,,,1019383.0,,operators,NO,true
Harvest Home West Harlem Market,Broadway btwn W. 138th & W. 139th St,New York,New York,06/04/2019 to 11/19/2019,-73.953193,40.822369,,,,,,1002345.0,,operators,NO,true
Harvest Home Harlem Hospital Market,Lenox Avenue btwn W. 136th & W. 138th Street,New York,New York,01/01/2019 to 12/31/2019,-73.9401,40.814968,,,,,,1019381.0,,operators,NO,true
Grass Roots Farmers Market,W.145th. Street between Edgecombe & Bradhurst Aves.,New York,New York,10031,-73.943475,40.823804,,,,,,1019989.0,,operators,NO,true
Harvest Home St. Mary's Park Market,E. 149th Street & Eagle Avenue,New York,New York,06/06/2019 to 11/14/2019,-73.911898,40.81385,,,,,,1019379.0,,operators,NO,true
Harvest Home Mt. Eden Market,Mt. Eden Pkwy & Morris Avenue,Bronx,New York,06/04/2019 to 11/19/2019,-73.90951700000001,40.8427,http://www.harvesthomefm.org,,,,,1002335.0,,operators,NO,true
Harvest Home Hunts Point Market,E. 163rd btwn Southern & Bruckner Boulevards,New York,New York,06/05/2019 to 11/20/2019,-73.890698,40.82077899999999,,,,,,1019377.0,,operators,NO,true
La Familia Verde Farmers Market,East Tremont Ave. between Lafontaine Ave& Arthue Ave,Bronx,New York,10460,-73.893737,40.846468,http://www.lafamiliaverde.org,,,,,1003343.0,,operators,NO,true
La Familia Verde Market,Tremont Ave between Arthur Ave & LaFontaine Ave,Bronx,New York,10457,-73.89197800000001,40.849357,,,,,,1019986.0,,operators,NO,true
Harvest Home North Central Bronx Market,E. Mosholu Pkwy N. & Jerome Avenue,Bronx,New York,06/05/2019 to 11/20/2019,-73.883864,40.880479,,,,,,1005332.0,,operators,NO,true
Harvest Home Jacobi Hospital Market,1400 Pelham Parkway,New York,New York,06/04/2019 to 11/19/2019,-73.846979,40.857347,,,,,,1019378.0,,operators,NO,true
The Markets at Shrewsbury,12025 Susquehanna Trail S,Glen Rock,Pennsylvania,17327,-76.730703,39.793503,http://www.marketsatshrewsbury.com,,,,,1011497.0,,operators,NO,true
Harvest Home Co-Op City Market,Asch Loop & Aldrich Street,Bronx,New York,06/05/2019 to 11/20/2019,-73.831007,40.870274,,,,,,1019366.0,,operators,NO,true
South Side Farmers' Market,Alder Street and Cedar Avenue,Scranton,Pennsylvania,18505,-75.66686429999999,41.4003507,http://www.facebook.com/southsidefarmersmarket,,,,,1019091.0,,operators,NO,true
Co-Operative Farmers Market,900 Barring Avenue,Scranton,Pennsylvania,18508,-75.665908,41.404178,http://www.coopfarmersmarket.com,,,,,1019474.0,,operators,NO,true
Palisades Winter Farmers' Market,675 Oak Tree Road,Palisades,New York,10964,-73.917284,41.011605,http://www.palisadesfm.org,,,,,1019723.0,,operators,NO,true
Riverwalk Farmers Market,5 S. Walnut Street ,Milford,Delaware,19963,-75.42808000000001,38.913062,http://downtownmilford.org/farmersmarket,,,,,1019635.0,,operators,NO,true
Down to Earth New Rochelle Farmers Market,515 North Avenue,New Rochelle,New York,10801,-73.786334,40.91964,,,,,,1010958.0,,operators,NO,true
Hereford Farm Market,17004 York Rd ,Parkton,Maryland,05/09/2020 to 10/31/2020,-76.644722,39.4668834,,,,,,1019802.0,,operators,NO,true
Adams-Ricci Farmers Market,100 East Penn Drive,Enola,Pennsylvania,17025,-76.937407,40.27399699999999,http://www.facebook.com/FarmersAtAdamsRicciParkEast/,,,,,1019847.0,,operators,NO,true
Roosevelt Community Farmers' Market,380 Nassau Road ,Roosevelt,New York,11575,-73.5908479,40.6817846,http://www.rooseveltfarmersmarket.com,,,,,1018349.0,,operators,NO,true
Down to Earth Mamaroneck Winter Farmers Market,168 West Boston Post Rd.,Mamaroneck,New York,10543,-73.734523,40.947737,http://www.downtoearthmarkets.com,,,,,1016793.0,,operators,NO,true
Wayne County Farmers Market,200 Willow Avenue,Honesdale ,Pennsylvania,18431,-75.251749,41.567023,,,,,,1019664.0,,operators,NO,true
Goshen Farmers Market,South Church and Main Street,Goshen,New York,10924,-74.32289899999999,41.40196599999999,,,,,,1012253.0,,operators,NO,true
Main Street Farmers Market,1030 Main Street,Honesdale,Pennsylvania,18431,-75.257714,41.575082,https://thecooperageproject.org/markets/farmersmarket/,,,,,1019706.0,,operators,NO,true
Dillsburg Farmers' Market,1 N. 2nd Street ,Dillsburg,Pennsylvania,17019,-77.037849,40.110975,http://dillsburgfarmersma.wixsite.com/dbgfarmersmarket,,,,,1018958.0,,operators,NO,true
Druid Hill Farmers' Market,3100 Swann Drive,Baltimore,Maryland,21217,-76.645847,39.317944,http://www.druidhillmkt.org,,,,,1004676.0,,operators,NO,true
Narrowsburg Farmers' Market,7 Erie Avenue,Narrowsburg,New York,12764,-75.05512,41.596136,https://narrowsburgfarmersmarket.org/,,,,,1020055.0,,operators,NO,true
BMI Farmers' Market,1415 Key Highway,Baltimore,Maryland,21230,-76.601326,39.273864,http://www.thebmi.org/programs-events/bmi-farmers-market/,,,,,1018092.0,,operators,NO,true
Hanover Market House,210 East Chestnut Street,Hanover,Pennsylvania,17331,-76.98261,39.803273,http://www.hanover-market.com,,,,,1019148.0,,operators,NO,true
Historic Lewes Farmers Market,Corner of Dupont and Johnson Avenues,Lewes,Delaware,19958,-75.147374,38.771568,,,,,,1019273.0,,operators,NO,true
Milton Farmers' Market,6 Village Center Boulevard,Milton,Delaware,19968,-75.310511,38.769132,http://www.miltondefarmersmarket.org/,,,,,1018486.0,,operators,NO,true
Port Chester Farmers Market,Highland St,Port Chester,New York,10573,-73.661339,41.00210999999999,http://www.portchesterfarmersmarket.com,,,,,1019027.0,,operators,NO,true
Pleasantville Farmers Market - Outdoor,Memorial Plaza (next to the train station),Pleasantville,New York,10570,-73.791678,41.13476,,,,,,1019322.0,,operators,NO,true
Pleasantville Farmers Market - Indoor,40 Romer Avenue,Pleasantville,New York,10570,-73.783867,41.134211,,,,,,1019321.0,,operators,NO,true
Historic Lewes Farmers Market Summer Wednesday Market,Crooked Hammock Way and Kings Highway,Lewes,Delaware,19958,-75.149992,38.74513,,,,,,1019057.0,,operators,NO,true
West Point-Town of Highlands Farmers Market,Main street,Village of Highland Falls,New York,10928,-73.96631,41.36957,http://www.facebook.com/pages/WestPointTownofHighlandsFarmersMarket,,,,,1002177.0,,operators,NO,true
Farmers on the Square,2A N Hanover St,Carlisle,Pennsylvania,17013,-77.18916800000001,40.202148,http://www.farmersonthesquare.com,,,,,1019862.0,,operators,NO,true
The cornwall farmers market,183 main street,cornwall n.y.,New York,12518,-74.059815,41.442234,,,,,,1019181.0,,operators,NO,true
Adams County Farmers' Market Association,103 Carlisle Street,Gettysburg,Pennsylvania,17325,-77.234147,39.830597,http://www.acfarmersmarkets.org,,,,,1019351.0,,operators,NO,true
Adams County Farmers Market,103 Carlisle Street,Gettysburg,Pennsylvania,17325,-77.234147,39.830597,http://www.facebook.com/AdamsCountyFarmersMarket,,,,,1019676.0,,operators,NO,true
St. Michaels Farmers Market,204 S Talbot St,St. Michaels,Maryland,21663,-76.225202,38.785161,http://www.facebook.com/loveyourfarmer/,,,,,1019675.0,,operators,NO,true
Bowie Farmers' Market,15200 Annapolis Road ,Bowie,Maryland,20715,-76.741902,38.97832,http://www.cityofbowie.org/103/Farmers-Market,,,,,1019165.0,,operators,NO,true
Lachat Farmers Market,106 Godfrey Road West,Weston,Connecticut,06883,-73.38566800000001,41.235769,https://lachattownfarm.org/farmers-market.php,,,,,1019649.0,,operators,NO,true
STCC Open Air Market,180 Airport Road,Shippensburg,Pennsylvania,17257,-77.47756899999999,40.050647,http://www.facebook.com/STCCOpenAirMarket/,,,,,1018918.0,,operators,NO,true
Greenbelt Farmers Market,25 Crescent Road,Greenbelt,Maryland,20770,-76.877296,39.00114600000001,,,,,,1019805.0,,operators,NO,true
Ocean Pines Farmers & Artisans Market,239 Ocean Parkway,Ocean Pines ,Maryland,21811,-75.160072,38.3992566,http://www.oceanpines.org/amenities/ocean-pines-farmers-and-artisans-market/,,,,,1019200.0,,operators,NO,true
Danbury Farmers' Market,120 White Street,Danbury,Connecticut,06810,-73.450227,41.397912,http://www.danburyfarmersmarket.org,,,,,1004516.0,,operators,NO,true
The Farmers Market at Maryland,3900 Campus Drive,College Park ,Maryland,20742,-76.947513,38.985968,http://farmersmarket.umd.edu,,,,,1019166.0,,operators,NO,true
Hyattsville Farmers Market,4310 Gallatin Street,Hyattsville,Maryland,20781,-76.941854,38.952822,http://www.hyattsville.org/farmersmarket,,,,,1011325.0,,operators,NO,true
Crossroads Farmers Market,Anne St. at University Blvd. E,Takoma Park,Maryland,20912,-76.990169,38.990479,http://www.crossroadscommunityfoodnetwork.org/farmers-market/,,,,,1012365.0,,operators,NO,true
Pawling Farmers Market,Charles Colman Blvd & West Main Street,Pawling,New York,12564,-73.60084499999999,41.564215,http://www.pawlingfarmersmarket.org,,,,,1019674.0,,operators,NO,true
Milk Lady Derwood Farmers Market,16501 Redland Road,Rockville,Maryland,20855,-77.150144,39.12688499999999,http://www.milkladymarkets.org/derwood-market.html,,,,,1020035.0,,operators,NO,true
Milk Lady Derwood Fall 2020 Pickup/Delivery,16501 Redland Road,Rockville,Maryland,20855,-77.150329,39.126727,http://www.milkladymarkets.org/derwood-market.html,,,,,1020034.0,,operators,NO,true
Kensington Farmers Market,Kensington train station parking lot  ,Kensington,Maryland,20895,-77.073728,39.026476,,,,,,1020011.0,,operators,NO,true
The Capital Market of 20743,111 Capitol Heights Blvd,Capitol Heights,Maryland,20743,-76.913335,38.887555,http://www.instagram.com/thecapitalmarket20743,,,,,1019596.0,,operators,NO,true
Urbana Library Farmers' Market,9020 Amelung Street,Frederick,Maryland,21704,-77.35446999999999,39.331636,http://www.facebook.com/UrbanaLibraryFarmersMarket/,,,,,1019498.0,,operators,NO,true
Rockville Farmers Market,Route 28 & Monroe Street,Rockville,Maryland,20850,-77.1492295,39.0819115,http://www.rockvillemd.gov/farmers,,,,,1012576.0,,operators,NO,true
Pike Central Farm Market,910 Rose Avenue,North Potomac,Maryland,20852,-77.117929,39.049352,http://www.centralfarmmarkets.com,,,,,1010408.0,,operators,NO,true
Berlin Farmers Market,Pitts Street ,Berlin ,Maryland,21811,-75.219195,38.325291,http://www.berlinmainstreet.com/farmersmarket/,,,,,1019933.0,,operators,NO,true
Oakcrest Farmers Market,1300 Capitol Heights Blvd,Capitol Heights,Maryland,20743,-76.91857590000001,38.8708398,,,,,,1019223.0,,operators,NO,true
Petworth Community Market,4100 9th St. NW,Washington ,District of Columbia,20010,-77.0250472,38.94115120000001,https://petworthcmarket.wordpress.com/,,,,,1010839.0,,operators,NO,true
Milk Lady Shady Grove Farmers Market,9601 Medical Center Drive,Rockville,Maryland,20850,-77.199488,39.104422,http://www.milkladymarkets.org/shady-grove-market,,,,,1020038.0,,operators,NO,true
Park View Farmers Market,3400 Georgia Ave NW,Washington,District of Columbia,20009,-77.023928,38.93217199999999,http://www.facebook.com/Parkviewfarmersmarket/,,,,,1019755.0,,operators,NO,true
Bethesda Central Farm Market,7600 Arlington Road,Bethesda ,Maryland,20814,-77.09989,38.986761,http://www.centralfarmmarkets.com,,,,,1010406.0,,operators,NO,true
Mount Pleasant Farmers' Market,3200 Mt. Pleasant St NW ,Washington,District of Columbia,20010,-77.038675,38.931518,,,,,,1018995.0,,operators,NO,true
The Monroe Farmers’ Market,7 Fan Hill Road,Monroe,Connecticut,06468,-73.207774,41.33221,http://www.monroefarmersmarket.org/,,,,,1019517.0,,operators,NO,true
North Square Farmers Market,100 Spring St,Chambersburg,Pennsylvania,17201,-77.662435,39.938459,http://www.northsquarefarmersmarket.com,,,,,1009884.0,,operators,NO,true
Cleveland Park Farmers Market,"3426 Connecticut Ave NW, Washington, DC 20008",Washington ,District of Columbia,20008,-77.058336,38.934867,http://cpbiz.org/,,,,,1019704.0,,operators,NO,true
FRESHFARM Dupont Market,1624 20th St NW ,Washington,District of Columbia,20009,-77.044967,38.911806,http://www.facebook.com/freshfarmdc,,,,,1018671.0,,operators,NO,true
Capital Harvest on the Plaza,1300 Pennsylvania Avenue,DC,District of Columbia,20004,-77.03025600000001,38.894748,http://www.capitalharvestdc.com,,,,,1018359.0,,operators,NO,true
USDA Farmers Market,Corner 12th St. & Independence Ave. SW,Washington,District of Columbia,20250,-77.028494,38.887743,http://www.usda.gov/farmersmarket,,,,,1005631.0,,operators,NO,true
MILFORD - DOWNTOWN FARMERS’ MARKET,108 West Main Street (Wasson Field),Milford,Connecticut,06460,-73.062096,41.226598,http://www.downtowntownmilfordfarmersmarket.com,,,,,1006681.0,,operators,NO,true
Myersville Farmers Market,301 Main Street,Myersville,Maryland,21773,-77.56524,39.505519,http://www.myersvillefarmersmarket.com,,,,,1019682.0,,operators,NO,true
Middletown Farmers' Market,12 S Church St,Middletown,Maryland,21769,-77.54531,39.44186699999999,http://www.middletownmdfarmersmarket.com,,,,,1019683.0,,operators,NO,true
Kingston Farmers' Market,Wall Street - Uptown Kingston,Kingston,New York,12402,-74.019483,41.932986,http://www.kingstonfarmersmarket.org,,,,,1003269.0,,operators,NO,true
McLean ,1659 Chain Bridge Rd,McLean,Virginia,22101,-77.192913,38.943545,http://www.fairfaxcounty.gov/parks/farmersmarkets/mclean,,,,,1019490.0,,operators,NO,true
Orange Community Farmers' Market,525 Orange Center Road,Orange ,Connecticut,06477,-73.02105870000001,41.2735586,,,,,,1018807.0,,operators,NO,true
McCutcheon/Mount Vernon ,2501 Sherwood Hall Lane,Alexandria ,Virginia,22306,-77.082026,38.818343,http://www.fairfaxcounty.gov/parks/farmersmarkets/mccutcheon-mount-vernon,,,,,1019487.0,,operators,NO,true
Woodstock Farm Festival,6 Maple Lane,Woodstock,New York,12498,-74.117834,42.040522,http://www.woodstockfarmfestival.org/,,,,,1019038.0,,operators,NO,true
NOVA Central Farm Market,543 Beulah Road,Vienna,Virginia,22180,-77.264712,38.915538,,,,,,1020054.0,,operators,NO,true
CitySeed Edgewood Park Farmers Market,corner of Whalley Ave. and West Rock Ave.,New Haven,Connecticut,06515,-72.958562,41.325348,http://www.cityseed.org/edgewood-park,,,,,1005940.0,,operators,NO,true
LVHMC Cascades Farmers' Market,21060 Whitfield Drive,Sterling,Virginia,20165,-77.395364,39.031603,http://www.loudounfarmersmarkets.org,,,,,1019177.0,,operators,NO,true
Annandale Farmers Market ,6621 Columbia Pike,Annandale ,Virginia,05/02/2019 to ,-77.196229,38.832801,http://www.fairfaxcounty.gov/parks/farmersmarkets/annandale,,,,,1019484.0,,operators,NO,true
Wakefield ,8100 Braddock Road , Annandale ,Virginia,22003,-77.196229,38.832801,http://www.fairfaxcounty.gov/parks/farmersmarkets/wakefield,,,,,1019489.0,,operators,NO,true
New Haven - CitySeed Downtown Farmers Market,Church St. ,New Haven,Connecticut,06510,-72.924912,41.307645,http://cityseed.org/downtown/,,,,,1005939.0,,operators,NO,true
CitySeed Winter Market,115 Water St,New Haven,Connecticut,06511,-72.9188338,41.3011808,http://cityseed.org/indoor-winter-market/,,,,,1019206.0,,operators,NO,true
CitySeed Wooster Square Farmers Market,DePalma Ct. between Chapel St. and Wooster St.,New Haven,Connecticut,06511,-72.91784799999999,41.303232,http://cityseed.org/wooster-square/,,,,,1005943.0,,operators,NO,true
Reston ,1609 Washington Plaza,Reston ,Virginia,20190,-77.342215,38.948449,http://www.fairfaxcounty.gov/parks/farmersmarkets/reston,,,,,1019493.0,,operators,NO,true
Oak Marr,3200 Jermantown Road,Oakton,Virginia,22124,-77.302226,38.889444,http://www.fairfaxcounty.gov/parks/farmersmarkets/oak-marr,,,,,1019488.0,,operators,NO,true
Herndon Farmers Market ,768 Lynn Street ,Herndon ,Virginia,20170,-77.387108,38.970411,http://www.fairfaxcounty.gov/parks/farmersmarkets/herndon,,,,,1019486.0,,operators,NO,true
CitySeed Fair Haven Farmers Market,Corner of Front St. and Grand Ave. ,New Haven,Connecticut,06513,-72.888848,41.308956,http://cityseed.org/fair-haven/,,,,,1005941.0,,operators,NO,true
Kingstowne,5870 Kingstowne Towne Center,Alexandrida ,Virginia,22315,-77.276198,38.8347926,http://www.fairfaxcounty.gov/parks/farmersmarkets/kingstowne,,,,,1019491.0,,operators,NO,true
North St. Mary's County Farmers Market,37600 New Market Turner Road,Charlotte Hall,Maryland,20622,-76.77563,38.473539,http://www.visitstmarysmd.com/food-drink/detail/north-st.-marys-county-farmers-market,,,,,1018455.0,,operators,NO,true
Fairfax Community Farmers' Market,10500 Page Avenue,Fairfax,Virginia,22030,-77.308647,38.846056,http://www.FairfaxSaturdayMarket.com,,,,,1019186.0,,operators,NO,true
LVHMC Leesburg Farmers Market,"101 Catoctin Circle, S. E.",Leesburg,Virginia,20175,-77.56573399999999,39.107555,http://www.loudounfarmersmarkets.org,,,,,1019175.0,,operators,NO,true
LVHMC Loudoun Station Farmers Market,Gramercy Park Drive and Central Station Drive,Ashburn,Virginia,20147,-77.489597,39.006277,http://www.facebook.com/LoudounStationFarmersMarket/,,,,,1019176.0,,operators,NO,true
Burke ,5671 Roberts Parkway,Burke,Virginia,22015,-77.263568,38.776991,http://www.fairfaxcounty.gov/parks/farmersmarkets/burke,,,,,1019492.0,,operators,NO,true
"Watertown, CT Farmers' Market",690 Thomaston Rd.,Watertown,Connecticut,06795,-73.106489,41.62258,http://www.facebook.com/Watertown-CT-Farmers-Market-296552447624881/,,,,,1019394.0,,operators,NO,true
California Farmers Market,22810 Three Notch Road,California,Maryland,20619,-76.499596,38.294524,http://www.visitstmarysmd.com/food-drink/detail/california-farmers-market,,,,,1018459.0,,operators,NO,true
La Plata Farmers Market - Saturday,209 Washington Ave,La Plata,Maryland,20646,-76.978699,38.531647,https://townoflaplata.org/farmersmarket,,,,,1019506.0,,operators,NO,true
Lorton ,8990 Lorton Station Blvd,Lorton ,Virginia,22079,-77.21635500000001,38.698239,http://www.fairfaxcounty.gov/parks/farmersmarkets/lorton,,,,,1019494.0,,operators,NO,true
Home Grown Farm Market,21078 Three Notch Road,Lexington Park ,Maryland,20653,-76.420927,38.247929,,,,,,1018458.0,,operators,NO,true
Litchfield Hills Farm-Fresh Market,421 Bantam Rad,Litchfield,Connecticut,06759,-73.215193,41.740678,http://www.litchfieldhillsfarmfresh-ct.org,,,,,1019679.0,,operators,NO,true
Purcellville Farmers' Market,717 E Main Street,Purcellville,Virginia,20132,-77.703843,39.136603,http://www.purcellvillefarmersmarket.com/,,,,,1019868.0,,operators,NO,true
Charles Town Farmers Market,100 block of South Samuel Street,Charles Town,West Virginia,25414,-77.85845400000001,39.28907299999999,,,,,,1018886.0,,operators,NO,true
East Side Farmers' Market,760 E Water St Elmira,Elmira,New York,14901,-76.793909,42.088765,http://chemung.cce.cornell.edu/agriculture/buy-local/farmers-markets,,,,,1019094.0,,operators,NO,true
LVHMC Bluemont Farmers Market,"EE Lake General Store, 33721 Snickersville Turnpike",Bluemont,Virginia,20135,-77.833365,39.110875,http://www.loudounfarmersmarkets.org,,,,,1019622.0,,operators,NO,true
Hudson Farmers Market,Corner of Columbia and Sixth Streets,Hudson,New York,12534,-73.783692,42.248656,http://www.hudsonfarmersmarketny.com,,,,,1005674.0,,operators,NO,true
NORFOLK FARMERS’ MARKET,19 Maple Avenue,Norfolk,Connecticut,06058,-73.197873,41.990739,http://www.norfolkfarmersmarket.org,,,,,1010614.0,,operators,NO,true
Norwich Farmers Market,2-75 North Broad Street,Norwich,New York,13815,-75.523491,42.53149000000001,http://www.lambsquartersinc.com,,,,,1019008.0,,operators,NO,true
Collinsville Farmers Market,Main St. and Route 179,Collinsville,Connecticut,06019,-72.923264,41.810819,http://www.collinsvillefarmersmarket.org,,,,,1001290.0,,operators,NO,true
Philmont Farmers' Market ,116 Main St. - opposite Local 111 restaurant ,Village of Philmont,New York,12565,-73.649443,42.249303,http://www.philmontcooperative.com,,,,,1002060.0,,operators,NO,true
